"trt","plot","quad.letter","quad","cover","spp","year","MW_family","wis","growth.form","c.value","native","life.dur","family","order","node1","node2","node3","node4","wis.num"
"D","3","SS","3",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","3","SS","4",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","3","SS","5",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","1","SS","1",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","1","SS","2",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","1","SS","3",85,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","1","SS","4",85,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","1","SS","5",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","2","SS","1",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","2","SS","2",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","2","SS","3",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","2","SS","4",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","2","SS","5",85,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","3","SS","1",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","3","SS","2",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","3","SS","3",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","3","SS","4",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"E","3","SS","5",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"R","1","SS","1",2.5,"Carex grisea",2013,"Cyperaceae","FAC","Nt P-SEDGE",3,1,1,"Cyperaceae","Poales","Monocots","Commelinids","","",3
"R","1","SS","1",2.5,"Symphyotrichum lanceolatum",2013,"Asteraceae","FAC","Nt P-FORB",3,1,1,"Asteraceae","Asterales","Eudicots","Superasterids","Asterids","Campanulids",3
"R","1","SS","1",2.5,"Pilea pumila",2013,"Urticaceae","FACW","Nt A-FORB",3,1,0,"Urticaceae","Rosales","Eudicots","Superrosids","Rosids","Fabids",2
"R","1","SS","2",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"R","1","SS","3",15,"Symphyotrichum lanceolatum",2013,"Asteraceae","FAC","Nt P-FORB",3,1,1,"Asteraceae","Asterales","Eudicots","Superasterids","Asterids","Campanulids",3
"R","1","SS","3",2.5,"Pilea pumila",2013,"Urticaceae","FACW","Nt A-FORB",3,1,0,"Urticaceae","Rosales","Eudicots","Superrosids","Rosids","Fabids",2
"R","1","SS","4",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"R","1","SS","4",2.5,"Stachys palustris",2013,"Lamiaceae","OBL","Ad P-FORB",0,0,1,"Lamiaceae","Lamiales","Eudicots","Superasterids","Asterids","Lamiids",1
"R","1","SS","5",2.5,"Impatiens capensis",2013,"Balsaminaceae","FACW","Nt A-FORB",2,1,0,"Balsaminaceae","Ericales","Eudicots","Superasterids","Asterids","",2
"R","1","SS","5",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"R","2","SS","1",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"R","2","SS","1",2.5,"Symphyotrichum lanceolatum",2013,"Asteraceae","FAC","Nt P-FORB",3,1,1,"Asteraceae","Asterales","Eudicots","Superasterids","Asterids","Campanulids",3
"R","2","SS","2",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"R","2","SS","3",2.5,"Lemna minor",2013,"Lemnaceae","OBL","Nt A-FORB",3,1,0,"Araceae","Alismatales","Monocots","","","",1
"R","2","SS","3",2.5,"Acer saccharinum",2013,"Aceraceae","FACW","Nt TREE",1,1,1,"Sapindaceae","Sapindales","Eudicots","Superrosids","Rosids","Malvids",2
"R","2","SS","4",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"R","2","SS","4",2.5,"Lemna minor",2013,"Lemnaceae","OBL","Nt A-FORB",3,1,0,"Araceae","Alismatales","Monocots","","","",1
"R","2","SS","5",2.5,"Lemna minor",2013,"Lemnaceae","OBL","Nt A-FORB",3,1,0,"Araceae","Alismatales","Monocots","","","",1
"R","2","SS","5",2.5,"Stachys palustris",2013,"Lamiaceae","OBL","Ad P-FORB",0,0,1,"Lamiaceae","Lamiales","Eudicots","Superasterids","Asterids","Lamiids",1
"R","2","SS","5",2.5,"Acer saccharinum",2013,"Aceraceae","FACW","Nt TREE",1,1,1,"Sapindaceae","Sapindales","Eudicots","Superrosids","Rosids","Malvids",2
"R","3","SS","1",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"R","3","SS","1",2.5,"Bidens frondosa",2013,"Asteraceae","FACW","Nt A-FORB",1,1,0,"Asteraceae","Asterales","Eudicots","Superasterids","Asterids","Campanulids",2
"R","3","SS","3",2.5,"Lemna minor",2013,"Lemnaceae","OBL","Nt A-FORB",3,1,0,"Araceae","Alismatales","Monocots","","","",1
"R","3","SS","3",2.5,"Acer saccharinum",2013,"Aceraceae","FACW","Nt TREE",1,1,1,"Sapindaceae","Sapindales","Eudicots","Superrosids","Rosids","Malvids",2
