Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes,,
78-3,>2 mm,C1 Q3,16.13,44.95,28.82,7/24/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
79-3,>250 um,C1 Q3,16.14,63.29,47.15,7/24/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
80-3,>53 um,C1 Q3,13.46,18.93,5.47,7/24/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
81-3,Full,C1 Q1,16.17,116.25,100.08,7/25/2023,,,,,,
81.5-3,fPOM,C1 Q1,13.48,14.11,0.63,7/25/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
82-3,>4.75 mm,C1 Q1,13.42,23.7,10.28,7/25/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
83-3,>2 mm,C1 Q1,13.45,45.53,32.08,7/25/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
84-3,>250 um,C1 Q1,13.5,58.42,44.92,7/25/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
85-3,>53 um,C1 Q1,13.49,19.26,5.77,7/25/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
86-3,Full,B2 Q5,13.36,113.39,100.03,7/26/2023,,,,,,
86.5-3,fPOM,B2 Q5,15.9,16.06,0.16,7/26/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
87-3,>4.75 mm,B2 Q5,13.33,20.71,7.38,7/26/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
88-3,>2 mm,B2 Q5,16.19,40.73,24.54,7/26/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
89-3,>250 um,B2 Q5,13.3,65.45,52.15,7/26/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
90-3,>53 um,B2 Q5,16.13,24.44,8.31,7/26/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
91-3,Full,C2 Q5,13.33,113.71,100.38,7/27/2023,,,,,,
91.5-3,fPOM,C2 Q5,13.48,13.61,0.13,7/27/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
92-3,>4.75 mm,C2 Q5,13.49,17.74,4.25,7/27/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
93-3,>2 mm,C2 Q5,13.22,35.89,22.67,7/27/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
94-3,>250 um,C2 Q5,13.38,66.83,53.45,7/27/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
95-3,>53 um,C2 Q5,13.23,22.93,9.7,7/27/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
96-3,Full,B2 Q3,13.37,113.56,100.19,7/27/2023,,,,,,
96.5-3,fPOM,B2 Q3,13.3,13.55,0.25,7/27/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
97-3,>4.75 mm,B2 Q3,13.38,20.14,6.76,7/27/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
98-3,>2 mm,B2 Q3,13.15,41.22,28.07,7/27/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
99-3,>250 um,B2 Q3,13.23,63.78,50.55,7/27/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
100-3,>53 um,B2 Q3,13.23,19.29,6.06,7/27/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
101-3,Full,B1 Q5,13.42,113.52,100.1,7/27/2023,,,,,,
101.5-3,fPOM,B1 Q5,13.34,13.4,0.06,7/27/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
102-3,>4.75 mm,B1 Q5,13.34,21.37,8.03,7/27/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
103-3,>2 mm,B1 Q5,13.37,43.03,29.66,7/27/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
104-3,>250 um,B1 Q5,13.38,60.12,46.74,7/27/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,leak when washing soil into tin container,,
105-3,>53 um,B1 Q5,13.33,19.81,6.48,7/27/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
106-3,Full,C2 Q2,13.35,113.42,100.07,7/27/2023,,,,,,
106.5-3,fPOM,C2 Q2,13.45,13.99,0.54,7/27/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
107-3,>4.75 mm,C2 Q2,13.37,24.74,11.37,7/27/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
108-3,>2 mm,C2 Q2,13.29,52.63,39.34,7/27/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
109-3,>250 um,C2 Q2,13.32,50.4,37.08,7/27/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
110-3,>53 um,C2 Q2,13.36,17.78,4.42,7/27/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
111-3,Full,D2 Q3,13.41,113.74,100.33,7/28/2023,,,,,,
111.5-3,fPOM,D2 Q3,13.36,13.64,0.28,7/28/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
112-3,>4.75 mm,D2 Q3,13.38,20.39,7.01,7/28/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
113-3,>2 mm,D2 Q3,13.07,41.74,28.67,7/28/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
114-3,>250 um,D2 Q3,13.34,59.53,46.19,7/28/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
115-3,>53 um,D2 Q3,13.36,23.29,9.93,7/28/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
116-3,Full,C3 Q5,12.01,112.21,100.2,7/28/2023,,,,,,
116.5-3,fPOM,C3 Q5,13.06,13.65,0.59,7/28/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
117-3,>4.75 mm,C3 Q5,14.91,20.15,5.24,7/28/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
118-3,>2 mm,C3 Q5,12.17,34.21,22.04,7/28/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
119-3,>250 um,C3 Q5,11.98,64.64,52.66,7/28/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
120-3,>53 um,C3 Q5,13.3,22.93,9.63,7/28/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
121-3,Full,C3 Q1,13.05,113.41,100.36,7/29/2023,,,,,,
121.5-3,fPOM,C3 Q1,11.95,12.28,0.33,7/29/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
122-3,>4.75 mm,C3 Q1,13.26,19.16,5.9,7/29/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
123-3,>2 mm,C3 Q1,13.11,41.19,28.08,7/29/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
124-3,>250 um,C3 Q1,13.29,64.12,50.83,7/29/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
125-3,>53 um,C3 Q1,13.17,20.01,6.84,7/29/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
126-3,Full,B2 Q4,13.15,113.44,100.29,7/29/2023,,,,,,
126.5-3,fPOM,B2 Q4,13.22,13.47,0.25,7/29/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
127-3,>4.75 mm,B2 Q4,13.14,21.88,8.74,7/29/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
128-3,>2 mm,B2 Q4,11.96,39.44,27.48,7/29/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
129-3,>250 um,B2 Q4,13.31,62.94,49.63,7/29/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
130-3,>53 um,B2 Q4,12.04,18.75,6.71,7/29/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
131-3,Full,E3 Q4,13.22,112.11,98.89,8/3/2023,,,,,,
131.5-3,fPOM,E3 Q4,13.21,13.32,0.11,8/3/2023,8/29/2023 12:10 PM,8/29/2023 12:10 PM,8/31/2023 12:20 PM,,,
132-3,>4.75 mm,E3 Q4,13.13,28.26,15.13,8/3/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
133-3,>2 mm,E3 Q4,11.99,41.34,29.35,8/3/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
134-3,>250 um,E3 Q4,12.08,58.04,45.96,8/3/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
135-3,>53 um,E3 Q4,13.16,17.36,4.2,8/3/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
136-3,Full,A2 Q1,13.32,113.57,100.25,8/3/2023,,,,,,
136.5-3,fPOM,A2 Q1,11.97,12.12,0.15,8/3/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
137-3,>4.75 mm,A2 Q1,13.43,23.9,10.47,8/3/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
138-3,>2 mm,A2 Q1,14.9,36.83,21.93,8/3/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
139-3,>250 um,A2 Q1,12.08,64.75,52.67,8/3/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
140-3,>53 um,A2 Q1,11.98,20.9,8.92,8/3/2023,8/25/2023 10:50 AM,8/25/2023 10:50 AM,8/27/2023 11:30 AM,,,
141-3,Full,B1 Q2,13.28,113.31,100.03,8/3/2023,,,,,,
141.5-3,fPOM,B1 Q2,14.88,14.98,0.1,8/3/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
142-3,>4.75 mm,B1 Q2,13.53,23.45,9.92,8/3/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
143-3,>2 mm,B1 Q2,13.06,36.71,23.65,8/3/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
144-3,>250 um,B1 Q2,13.17,65.89,52.72,8/3/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
145-3,>53 um,B1 Q2,13.39,20.24,6.85,8/3/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
146-3,Full,A1 Q3,13.28,113.41,100.13,8/3/2023,,,,,,
146.5-3,fPOM,A1 Q3,11.95,12.06,0.11,8/3/2023,9/8/2023 10:45 AM,9/8/2023 10:45 AM,9/10/2023 11:50 AM,,,
147-3,>4.75 mm,A1 Q3,13.23,17.9,4.67,8/3/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
148-3,>2 mm,A1 Q3,14.87,43.37,28.5,8/3/2023,9/8/2023 10:45 AM,9/8/2023 10:45 AM,9/10/2023 11:50 AM,,,
149-3,>250 um,A1 Q3,11.97,64.17,52.2,8/3/2023,8/25/2023 11:30 AM,8/25/2023 11:30 AM,8/27/2023 11:30 AM,,,
150-3,>53 um,A1 Q3,13.4,21.03,7.63,8/3/2023,8/25/2023 10:50 AM,8/25/2023 10:50 AM,8/27/2023 11:30 AM,,,
151-3,Full,C1 Q5,13.32,113.52,100.2,8/4/2023,,,,,,
151.5-3,fPOM,C1 Q5,13.35,13.55,0.2,8/4/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
152-3,>4.75 mm,C1 Q5,13.25,17.27,4.02,8/4/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
153-3,>2 mm,C1 Q5,12.07,40.67,28.6,8/4/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
154-3,>250 um,C1 Q5,13.22,64.01,50.79,8/4/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
155-3,>53 um,C1 Q5,14.97,23.14,8.17,8/4/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
156-3,Full,A1 Q4,13.07,113.29,100.22,8/4/2023,,,,,,
156.5-3,fPOM,A1 Q4,13.35,13.67,0.32,8/4/2023,9/12/2023 12:00 PM,9/12/2023 12:00 PM,9/14/2023 12:30 PM,,,
157-3,>4.75 mm,A1 Q4,13.35,21.22,7.87,8/4/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
158-3,>2 mm,A1 Q4,13.3,39.11,25.81,8/4/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
159-3,>250 um,A1 Q4,13.31,63.34,50.03,8/4/2023,08/28/2023 12:00 PM,08/28/2023 12:00 PM,8/31/2023 12:20 PM,,,
160-3,>53 um,A1 Q4,13.26,22.38,9.12,8/4/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
161-3,Full,C2 Q3,14.99,115.06,100.07,8/11/2023,,,,,,
161.5-3,fPOM,C2 Q3,13.25,13.48,0.23,8/11/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
162-3,>4.75 mm,C2 Q3,13.16,17.84,4.68,8/11/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
163-3,>2 mm,C2 Q3,13.43,34.15,20.72,8/11/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
164-3,>250 um,C2 Q3,12.06,67.6,55.54,8/11/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
165-3,>53 um,C2 Q3,13.45,24.7,11.25,8/11/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
166-5,Full,A2 Q3,11.96,112.16,100.2,8/11/2023,,,,,,
166.5-3,fPOM,A2 Q3,11.95,12.02,0.07,8/11/2023,9/10/2023 12:00 PM,9/10/2023 12:00 PM,9/12/2023 12:00 PM,,,
167-3,>4.75 mm,A2 Q3,13.53,15.66,2.13,8/11/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
168-3,>2 mm,A2 Q3,13.31,26.62,13.31,8/11/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
169-3,>250 um,A2 Q3,12.09,72.54,60.45,8/11/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
170-3,>53 um,A2 Q3,13.56,27.9,14.34,8/11/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
171-3,Full,A2 Q4,14.87,114.9,100.03,8/11/2023,,,,,,
171.5-3,fPOM,A2 Q4,13.25,13.35,0.1,8/11/2023,8/29/2023 12:10 PM,8/29/2023 12:10 PM,8/31/2023 12:20 PM,,,
172-3,>4.75 mm,A2 Q4,13.46,23.56,10.1,8/11/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
173-3,>2 mm,A2 Q4,13.12,40.02,26.9,8/11/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/29/2023 11:45 AM,,,
174-3,>250 um,A2 Q4,11.98,58.76,46.78,8/11/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
175-3,>53 um,A2 Q4,11.97,19.77,7.8,8/11/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
176-3,Full,B1 Q3,13.51,113.83,100.32,8/11/2023,,,,,,
176.5-3,fPOM,B1 Q3,13.24,13.48,0.24,8/11/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
177-3,>4.75 mm,B1 Q3,13.29,19.99,6.7,8/11/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
178-3,>2 mm,B1 Q3,14.91,39.4,24.49,8/11/2023,8/29/2023 12:10 PM,8/29/2023 12:10 PM,8/31/2023 12:20 PM,,,
179-3,>250 um,B1 Q3,16.28,68.8,52.52,8/11/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
180-3,>53 um,B1 Q3,13.51,21.98,8.47,8/11/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
181-3,Full,B3 Q3,13.4,113.43,100.03,8/11/2023,,,,,,
181.5-3,fPOM,B3 Q3,13.34,13.61,0.27,8/11/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
182-3,>4.75 mm,B3 Q3,13.31,16.62,3.31,8/11/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
183-3,>2 mm,B3 Q3,13.3,33.21,19.91,8/11/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
184-3,>250 um,B3 Q3,11.98,69.53,57.55,8/11/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
185-3,>53 um,B3 Q3,15.8,24.3,8.5,8/11/2023,8/29/2023 12:10 PM,8/29/2023 12:10 PM,8/31/2023 12:20 PM,,,
186-3,Full,C1 Q4,13.46,113.69,100.23,8/11/2023,,,,,,
186.5-3,fPOM,C1 Q4,13.15,13.4,0.25,8/11/2023,9/10/2023 12:00 PM,9/10/2023 12:00 PM,9/12/2023 12:00 PM,,,
187-3,>4.75 mm,C1 Q4,13.23,17.79,4.56,8/11/2023,8/29/2023 12:10 PM,8/29/2023 12:10 PM,8/31/2023 12:20 PM,,,
188-3,>2 mm,C1 Q4,16.2,39.48,23.28,8/11/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
189-3,>250 um,C1 Q4,12.1,66.39,54.29,8/11/2023,08/28/2023 12:00 PM,08/28/2023 12:00 PM,8/31/2023 12:20 PM,,,
190-3,>53 um,C1 Q4,13.28,22.06,8.78,8/11/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
191-3,Full,C2 Q1,13.36,113.51,100.15,8/14/2023,,,,,,
191.5-3,fPOM,C2 Q1,12.54,12.58,0.04,8/14/2023,9/14/2023 12:30 PM,9/14/2023 12:30 PM,9/18/2023 11:30 AM,,,
192-3,>4.75 mm,C2 Q1,13.21,15.74,2.53,8/14/2023,9/8/2023 10:45 AM,9/8/2023 10:45 AM,9/10/2023 11:50 AM,,,
193-3,>2 mm,C2 Q1,12,32.49,20.49,8/14/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
194-3,>250 um,C2 Q1,14.84,72.7,57.86,8/14/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
195-3,>53 um,C2 Q1,13.45,24.02,10.57,8/14/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
196-3,Full,B3 Q1,11.98,112.07,100.09,8/14/2023,,,,,,
196.5-3,fPOM,B3 Q1,15.11,15.4,0.29,8/14/2023,9/14/2023 12:30 PM,9/18/2023 11:30 AM,9/20/2023 12:15 PM,,,
197-3,>4.75 mm,B3 Q1,12,15.01,3.01,8/14/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
198-3,>2 mm,B3 Q1,13.41,34.91,21.5,8/14/2023,9/8/2023 10:45 AM,9/8/2023 10:45 AM,9/10/2023 11:50 AM,,,
199-3,>250 um,B3 Q1,13.33,24.06,10.73,8/14/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
200-3,>53 um,B3 Q1,13.49,67.65,54.16,8/14/2023,8/27/2023 11:45 AM,8/27/2023 11:45 AM,8/31/2023 12:20 PM,,,
201-3,Full,A1 Q1,13.54,113.59,100.05,8/14/2023,,,,,,
201.5-3,fPOM,A1 Q1,13.23,13.33,0.1,8/14/2023,9/10/2023 12:00 PM,9/10/2023 12:00 PM,9/12/2023 12:00 PM,,,
202-3,>4.75 mm,A1 Q1,13.37,21.85,8.48,8/14/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
203-3,>2 mm,A1 Q1,13.19,35.49,22.3,8/14/2023,9/4/2023 9:35 AM,9/4/2023 9:35 AM,9/6/2023 10:20 AM,,,
204-3,>250 um,A1 Q1,11.91,63.86,51.95,8/14/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
205-3,>53 um,A1 Q1,13.76,24.13,10.37,8/14/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
206-3,Full,B2 Q2,13.33,113.62,100.29,8/14/2023,,,,,,
206.5-3,fPOM,B2 Q2,14.95,15.38,0.43,8/14/2023,9/8/2023 10:45 AM,9/8/2023 10:45 AM,9/10/2023 11:50 AM,,,
207-3,>4.75 mm,B2 Q2,16.44,23.34,6.9,8/14/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
208-3,>2 mm,B2 Q2,13.23,39.75,26.52,8/14/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
209-3,>250 um,B2 Q2,14.91,65.22,50.31,8/14/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
210-3,>53 um,B2 Q2,14.99,22.97,7.98,8/14/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
211-3,Full,B2 Q1,13.48,113.49,100.01,8/14/2023,,,,,,
211.5-3,fPOM,B2 Q1,13.35,13.59,0.24,8/14/2023,9/13/2023 10:45 AM,9/13/2023 10:45 AM,9/15/2023 12:00 PM,,,
212-3,>4.75 mm,B2 Q1,13.37,17.44,4.07,8/14/2023,8/29/2023 12:10 PM,8/29/2023 12:10 PM,8/31/2023 12:20 PM,,,
213-3,>2 mm,B2 Q1,16.12,44.07,27.95,8/14/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
214-3,>250 um,B2 Q1,13.19,64.65,51.46,8/14/2023,8/29/2023 12:10 PM,8/29/2023 12:10 PM,8/31/2023 12:20 PM,,,
215-3,>53 um,B2 Q1,12.08,21.07,8.99,8/14/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
216-3,Full,C2 Q4,12.25,112.28,100.03,8/14/2023,,,,,,
216.5-3,fPOM,C2 Q4,13.35,13.62,0.27,8/14/2023,9/10/2023 12:00 PM,9/10/2023 12:00 PM,9/12/2023 12:00 PM,,,
217-3,>4.75 mm,C2 Q4,13.1,18.29,5.19,8/14/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
218-3,>2 mm,C2 Q4,15.06,44.85,29.79,8/14/2023,9/10/2023 12:00 PM,9/10/2023 12:00 PM,9/12/2023 12:00 PM,,,
219-3,>250 um,C2 Q4,13.24,63.52,50.28,8/14/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
220-3,>53 um,C2 Q4,12.36,17.45,5.09,8/14/2023,8/25/2023 10:00 AM,8/25/2023 10:00 AM,8/27/2023 11:30 AM,,,
221-3,Full,B3 Q4,11.97,112.01,100.04,9/26/2023,,,,,,
221.5-3,fPOM,B3 Q4,13.55,,-13.55,9/26/2023,,,,,,
222-3,>4.75 mm,B3 Q4,12.03,,-12.03,9/26/2023,,,,,,
223-3,>2 mm,B3 Q4,13.39,,-13.39,9/26/2023,,,,,,
224-3,>250 um,B3 Q4,13.11,,-13.11,9/26/2023,,,,,,
225-3,>53 um,B3 Q4,13.34,,-13.34,9/26/2023,,,,,,
