Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes,,
58-1,fPOM,D2 Q5,13.53,13.58,0.05,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,D1 Q5,D3 Q4
59-1,Full,E2 Q4,13.63,114.18,100.55,6/30/2023,,,,,A2 Q5,D3 Q5
60-1,>4.75 mm,E2 Q4,13.61,22.27,8.66,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,R3 Q1,E1 Q1
61-1,>2 mm,E2 Q4,13.55,36.34,22.79,6/30/2023,7/5/2023 11:55 AM,7/12/2023 12:30 PM,7/13/2023 1:00 PM,,C1 Q3,E1 Q2
62-1,>250 um,E2 Q4,13.53,59.22,45.69,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:30 PM,,C1 Q1,E1 Q3
63-1,>53 um,E2 Q4,13.56,18.86,5.3,6/30/2023,7/5/2023 11:55 AM,7/6/2023 4:15 PM,7/7/2023 4:15 PM,,B2 Q5,E1 Q4
64-1,fPOM,E2 Q4,13.55,13.64,0.09,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,C2 Q5,E1 Q5
65-1,Full,B3 Q5,13.62,113.8,100.18,6/30/2023,,,,,B2 Q3,E2 Q1
66-1,fPOM,B3 Q5,13.24,13.65,0.41,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,B1 Q5,E2 Q2
67-1,>4.75 mm,B3 Q5,13.59,23.44,9.85,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:30 PM,,C2 Q2,E2 Q3
68-1,>2 mm,B3 Q5,13.51,35.14,21.63,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:30 PM,,D2 Q3,E2 Q4
69-1,>250 um,B3 Q5,13.47,57.93,44.46,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:30 PM,,C3 Q5,E2 Q5
70-1,>53 um,B3 Q5,13.37,20.14,6.77,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:30 PM,,C3 Q1,E3 Q1
71-1,Full,C3 Q3,13.53,113.6,100.07,6/30/2023,,,,,B2 Q4,E3 Q2
72-1,fPOM,C3 Q3,13.49,13.71,0.22,6/30/2023,7/5/2023 11:55 AM,7/7/2023 11:00 AM,7/10/2023 11:00 AM,,E3 Q4,E3 Q3
73-1,>4.75 mm,C3 Q3,13.45,22.18,8.73,6/30/2023,7/5/2023 11:55 AM,7/6/2023 4:15 PM,7/7/2023 4:15 PM,,A2 Q1,E3 Q4
74-1,>2 mm,C3 Q3,13.53,38.55,25.02,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:30 PM,,B1 Q2,E3 Q5
75-1,>250 um,C3 Q3,13.53,57.76,44.23,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:30 PM,,A1 Q3,R1 Q1
76-1,>53 um,C3 Q3,13.45,18.95,5.5,6/30/2023,7/5/2023 11:55 AM,7/7/2023 11:00 AM,7/10/2023 11:00 AM,,C1 Q5,R1 Q2
77-1,Full,B1 Q4,13.27,13.55,0.28,7/3/2023,,,,,A1 Q4,R1 Q3
78-1,fPOM,B1 Q4,13.59,13.94,0.35,7/3/2023,7/5/2023 11:55 AM,7/11/2023 12:30 PM,7/12/2023 12:40 PM,,C2 Q3,R1 Q4
79-1,>4.75 mm,B1 Q4,13.37,22.54,9.17,7/3/2023,7/10/2023 12:05 PM,7/14/2023 12:45 PM,7/15/2023 4:00 PM,,A2 Q3,R1 Q5
80-1,>2 mm,B1 Q4,13.21,33.78,20.57,7/3/2023,7/10/2023 12:05 PM,7/16/2023 4:30 PM,7/17/2023 4:30 PM,,A2 Q4,R2 Q1
81-1,>250 um,B1 Q4,13.65,59.67,46.02,7/3/2023,7/10/2023 12:05 PM,7/14/2023 12:45 PM,7/15/2023 4:00 PM,,B1 Q3,R2 Q2
82-1,>53 um,B1 Q4,13.5,19.47,5.97,7/3/2023,7/10/2023 12:05 PM,7/11/2023 12:30 PM,7/12/2023 12:40 PM,,B3 Q3,R2 Q3
83-1,Full,D2 Q2,13.29,113.38,100.09,7/3/2023,,,,,C1 Q4,R2 Q4
84-1,fPOM,D2 Q2,13.5,13.58,0.08,7/3/2023,7/10/2023 12:05 PM,7/12/2023 10:30 AM,7/13/2023 1:00 PM,,C2 Q1,R2 Q5
85-1,>4.75 mm,D2 Q2,13.44,20.01,6.57,7/3/2023,7/11/2023 1:30 PM,7/12/2023 10:30 AM,7/13/2023 1:00 PM,,B3 Q1,R3 Q1
86-1,>2 mm,D2 Q2,13.38,29.67,16.29,7/3/2023,7/7/2023 4:15 PM,7/12/2023 10:30 AM,7/13/2023 1:00 PM,,A1 Q1,R3 Q2
87-1,>250 um,D2 Q2,13.62,57.11,43.49,7/3/2023,7/7/2023 4:15 PM,7/11/2023 12:00 PM,7/12/2023 12:40 PM,,B2 Q2,R3 Q3
88-1,>53 um,D2 Q2,13.42,26.92,13.5,7/3/2023,7/7/2023 4:15 PM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,B2 Q1,R3 Q4
1-2,Full,A3 Q1,13.43,113.44,100.01,7/6/2023,,,,,C2 Q4,R3 Q5
1.5-2,fPOM,A3 Q1,16.18,16.36,0.18,7/6/2023,7/7/2023 4:15 PM,7/11/2023 12:30 PM,7/12/2023 12:40 PM,,,
2-2,>4.75 mm,A3 Q1,13.48,15.69,2.21,7/6/2023,7/7/2023 4:15 PM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,,
3-2,>2 mm,A3 Q1,13.49,31.21,17.72,7/6/2023,7/7/2023 4:15 PM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,,
4-2,>250 um,A3 Q1,13.33,70.77,57.44,7/6/2023,7/11/2023 1:30 PM,7/14/2023 12:45 PM,7/15/2023 4:00 PM,,,
5-2,>53 um,A3 Q1,13.54,22.22,8.68,7/6/2023,7/11/2023 3:00 PM,7/12/2023 12:30 PM,7/13/2023 12:55 PM,,,
6-2,Full,A2 Q2,13.46,113.48,100.02,7/6/2023,,,,,,
6.5-2,fPOM,A2 Q2,15.75,16.02,0.27,7/6/2023,7/11/2023 3:00 PM,7/16/2023 4:30 PM,7/17/2023 4:30 PM,,,
7-2,>4.75 mm,A2 Q2,13.3,22.78,9.48,7/6/2023,7/12/2023 1:30 PM,7/15/2023 4:00 PM,7/16/2023 4:00 PM,,,
8-2,>2 mm,A2 Q2,13.38,34.29,20.91,7/6/2023,7/12/2023 1:30 PM,7/17/2023 4:30 PM,7/18/2023 4:00 PM,,,
9-2,>250 um,A2 Q2,13.42,62.45,49.03,7/6/2023,7/12/2023 1:30 PM,7/15/2023 4:00 PM,7/16/2023 4:00 PM,,,
10-2,>53 um,A2 Q2,2.21,6.93,4.72,7/6/2023,7/12/2023 1:30 PM,7/13/2023 1:00 PM,7/14/2023 1:00 PM,Did not record mass on day removed; had to transfer to new tin and re-mass,,
11-2,Full,D2 Q4,13.28,113.43,100.15,7/6/2023,,,,,,
11.5-2,fPOM,D2 Q4,13.54,13.6,0.06,7/6/2023,7/12/2023 1:30 PM,7/14/2023 4:35 PM,7/15/2023 4:00 PM,,,
12-2,>4.75 mm,D2 Q4,13.26,27.11,13.85,7/6/2023,7/13/2023 1:00 PM,7/14/2023 12:50 PM,7/15/2023 4:00 PM,,,
13-2,>2 mm,D2 Q4,13.32,41.45,28.13,7/6/2023,7/13/2023 1:00 PM,7/15/2023 4:00 PM,7/16/2023 4:00 PM,,,
14-2,>250 um,D2 Q4,13.44,51.66,38.22,7/6/2023,7/13/2023 1:00 PM,7/14/2023 12:50 PM,7/15/2023 4:00 PM,,,
15-2,>53 um,D2 Q4,13.97,20.04,6.07,7/6/2023,7/11/2023 6:00 PM,7/12/2023 12:30 PM,7/13/2023 1:00 PM,,,
16-2,Full,E2 Q3,13.34,113.38,100.04,7/6/2023,,,,,,
16.5-2,fPOM,E2 Q3,13.55,13.68,0.13,7/6/2023,7/13/2023 1:00 PM,7/14/2023 12:50 PM,7/15/2023 4:00 PM,,,
17-2,>4.75 mm,E2 Q3,13.33,30.84,17.51,7/6/2023,7/13/2023 1:00 PM,7/14/2023 12:50 PM,7/15/2023 4:00 PM,,,
18-2,>2 mm,E2 Q3,13.4,40.22,26.82,7/6/2023,7/13/2023 1:00 PM,7/15/2023 4:00 PM,7/16/2023 4:00 PM,,,
19-2,>250 um,E2 Q3,13.66,48.39,34.73,7/6/2023,7/11/2023 6:00 PM,7/12/2023 12:30 PM,7/13/2023 1:00 PM,,,
20-2,>53 um,E2 Q3,13.46,18.04,4.58,7/6/2023,7/11/2023 6:00 PM,7/12/2023 12:30 PM,7/13/2023 1:00 PM,,,
21-2,Full,E2 Q2,13.3,113.43,100.13,7/6/2023,,,,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting",,
21.5-2,fPOM,E2 Q2,13.48,13.91,0.43,7/6/2023,7/13/2023 1:00 PM,7/16/2023 4:30 PM,7/17/2023 4:30 PM,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting",,
22-2,>4.75 mm,E2 Q2,16.35,22.75,6.4,7/6/2023,7/13/2023 1:00 PM,7/14/2023 12:50 PM,7/15/2023 4:00 PM,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting",,
23-2,>2 mm,E2 Q2,13.32,43.32,30,7/6/2023,7/13/2023 1:00 PM,7/16/2023 4:30 PM,7/17/2023 4:30 PM,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting",,
24-2,>250 um,E2 Q2,13.37,50.93,37.56,7/6/2023,7/13/2023 1:00 PM,7/15/2023 4:00 PM,7/16/2023 4:00 PM,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting",,
25-2,>53 um,E2 Q2,13.54,20.24,6.7,7/6/2023,7/14/2023 1:00 PM,7/15/2023 4:00 PM,7/16/2023 4:00 PM,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting",,
26-2,Full,B3 Q2,16.31,116.73,100.42,7/6/2023,,,,,,
26.5-2,fPOM,B3 Q2,13.32,13.99,0.67,7/6/2023,7/15/2023 4:00 PM,7/17/2023 4:30 PM,7/18/2023 4:00 PM,,,
27-2,>4.75 mm,B3 Q2,13.42,18.48,5.06,7/6/2023,7/15/2023 4:00 PM,7/16/2023 4:30 PM,7/17/2023 4:30 PM,,,
28-2,>2 mm,B3 Q2,16.16,38.31,22.15,7/6/2023,7/15/2023 4:00 PM,7/17/2023 4:30 PM,7/18/2023 4:00 PM,,,
29-2,>250 um,B3 Q2,16.43,66.62,50.19,7/6/2023,7/11/2023 6:00 PM,7/12/2023 12:30 PM,7/13/2023 1:00 PM,,,
30-2,>53 um,B3 Q2,13.55,22.23,8.68,7/6/2023,7/11/2023 6:00 PM,7/12/2023 12:30 PM,7/13/2023 1:00 PM,,,
31-2,Full,B1 Q1,16.17,116.59,100.42,7/6/2023,,,,,,
31.5-2,fPOM,B1 Q1,13.23,13.58,0.35,7/6/2023,7/15/2023 4:00 PM,7/19/2023 10:30 AM,7/20/2019 10:40 AM,,,
32-2,>4.75 mm,B1 Q1,16.19,25.2,9.01,7/6/2023,7/15/2023 4:00 PM,7/17/2023 4:30 PM,7/18/2023,,,
33-2,>2 mm,B1 Q1,16.43,42.11,25.68,7/6/2023,7/15/2023 4:00 PM,7/16/2023 4:30 PM,7/17/2023 4:30 PM,,,
34-2,>250 um,B1 Q1,16.27,60.69,44.42,7/6/2023,7/15/2023 4:00 PM,7/17/2023 4:30 PM,7/18/2023 4:30 PM,,,
35-2,>53 um,B1 Q1,16.41,24.46,8.05,7/6/2023,7/15/2023 4:00 PM,7/16/2023 4:30 PM,7/17/2023 4:30 PM,,,
36-2,Full,D3 Q1,13.39,113.98,100.59,7/12/2023,,,,,,
36.5-2,fPOM,D3 Q1,13.48,13.62,0.14,7/12/2023,7/15/2023 4:00 PM,7/19/2023 10:30 AM,7/20/2019 10:40 AM,,,
37-2,>4.75 mm,D3 Q1,15.98,23.82,7.84,7/12/2023,7/16/2023 4:30 PM,7/18/2023 4:15 PM,7/19/2023 4:20 PM,,,
38-2,>2 mm,D3 Q1,16.12,40.38,24.26,7/12/2023,7/16/2023 4:30 PM,7/22/2023 5:45 PM,7/23/2023 5:45 PM,,,
39-2,>250 um,D3 Q1,16.3,65.95,49.65,7/12/2023,7/16/2023 4:30 PM,7/19/2023 10:30 AM,7/20/2023 10:40 AM,,,
40-2,>53 um,D3 Q1,16.16,22.2,6.04,7/12/2023,7/16/2023 4:30 PM,7/23/2023 5:45 PM,7/23/2023 4:40 PM,,,
41-2,Full,D3 Q5,16.34,116.4,100.06,7/12/2023,,,,,,
41.5-2,fPOM,D3 Q5,13.46,13.53,0.07,7/12/2023,7/16/2023 4:30 PM,7/22/2023 5:45 PM,7/23/2023 5:45 PM,,,
42-2,>4.75 mm,D3 Q5,16.46,30.96,14.5,7/12/2023,7/16/2023 4:30 PM,7/17/2023 4:30 PM,7/18/2023 4:00 PM,,,
43-2,>2 mm,D3 Q5,16.09,42.61,26.52,7/12/2023,7/17/2023 11:45 PM,7/22/2023 5:45 PM,7/23/2023 5:45 PM,,,
44-2,>250 um,D3 Q5,16.16,62.52,46.36,7/12/2023,7/17/2023 11:45 PM,7/18/2023 4:15 PM,7/19/2023 4:20 PM,,,
45-2,>53 um,D3 Q5,13.28,17.15,3.87,7/12/2023,7/17/2023 11:45 PM,7/21/2023 4:00 PM,7/22/2023 5:40 PM,,,
46-2,Full,E1 Q4,13.36,113.69,100.33,7/12/2023,,,,,,
46.5-2,fPOM,E1 Q4,16.27,16.61,0.34,7/12/2023,7/17/2023 11:45 PM,7/21/2023 4:00 PM,7/22/2023 5:45 PM,,,
47-2,>4.75 mm,E1 Q4,16.17,28.95,12.78,7/12/2023,7/17/2023 11:45 PM,7/19/2023 10:30 AM,7/20/2023 10:40 AM,,,
48-2,>2 mm,E1 Q4,13.39,45.82,32.43,7/12/2023,7/17/2023 11:45 PM,7/22/2023 5:45 PM,7/23/2023 5:45 PM,,,
49-2,>250 um,E1 Q4,13.26,51.39,38.13,7/12/2023,7/17/2023 11:45 PM,7/19/2023 10:30 AM,7/20/2023 10:40 AM,,,
50-2,>53 um,E1 Q4,13.21,17.93,4.72,7/12/2023,7/17/2023 11:45 PM,7/19/2023 10:30 AM,7/20/2023 10:40 AM,,,
51-2,Full,E2 Q1,13.54,113.95,100.41,7/12/2023,,,,,,
51.5-2,fPOM,E2 Q1,13.58,13.76,0.18,7/12/2023,7/17/2023 11:45 PM,7/23/2023 5:45 PM,7/24/2023 4:40 PM,,,
52-2,>4.75 mm,E2 Q1,13.47,21.95,8.48,7/12/2023,7/17/2023 11:45 PM,7/22/2023 5:45 PM,7/23/2023 5:45 PM,,,
53-2,>2 mm,E2 Q1,13.98,38.95,24.97,7/12/2023,7/17/2023 4:50 PM,7/23/2023 5:45 PM,7/24/2023 4:40 PM,,,
54-2,>250 um,E2 Q1,15.84,64.62,48.78,7/12/2023,7/17/2023 4:50 PM,7/22/2023 5:45 PM,7/23/2023 5:45 PM,,,
55-2,>53 um,E2 Q1,13.67,19.93,6.26,7/12/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
56-2,Full,R1 Q3,13.49,114,100.51,7/13/2023,,,,,,
