v,v.mean,t,mean,sd,5,95,15,85,25,75
TN (%),0.250444444,Seedbank,0.237916636,0.021776204,0.203040226,0.273873499,0.216273999,0.259235915,0.222735533,0.250040061
TN (%),0.250444444,Reference,0.153375024,0.014404737,0.129256153,0.176073429,0.136720421,0.165411138,0.141878083,0.160056058
C:N Ratio,16.69744444,Balled-and-burlapped,14.18441475,0.947164115,12.58442176,15.63955498,13.10831394,14.98535934,13.46210472,14.66697959
C:N Ratio,16.69744444,Bareroot,13.94365152,0.9608851,12.33038672,15.4456032,12.88279474,14.79882344,13.24458355,14.46596546
C:N Ratio,16.69744444,Seedling,16.75332802,1.117389951,14.98939094,18.60288508,15.72909183,17.89952329,15.89851773,17.26700026
C:N Ratio,16.69744444,Acorn,14.70601139,1.023513554,12.92504214,16.2838054,13.64504812,15.60671984,14.07765348,15.28920128
C:N Ratio,16.69744444,Seedbank,17.70389282,1.126922931,15.84736563,19.47823485,16.55188563,18.76825128,17.08037734,18.47311959
C:N Ratio,16.69744444,Reference,22.73505983,1.568596509,20.06643824,25.08155412,21.06743915,24.13713873,21.57656302,23.55338815
Temperature (C),16.69666667,Balled-and-burlapped,16.42743258,0.42204392,15.79512422,17.13268082,16.06110963,16.86607484,16.13103246,16.65178751
Temperature (C),16.69666667,Bareroot,16.39192027,0.420275153,15.75457657,17.09080157,15.96558229,16.80096439,16.09025322,16.61562252
Temperature (C),16.69666667,Seedling,16.12753644,0.427023135,15.49633739,16.90542369,15.66431662,16.47672038,15.86284526,16.3810749
Temperature (C),16.69666667,Acorn,17.38092572,0.444838847,16.63731308,18.09777493,16.94693512,17.81937055,17.06517264,17.60139216
Temperature (C),16.69666667,Seedbank,17.05454614,0.426930744,16.3221764,17.70543047,16.61782141,17.48637137,16.78246814,17.32904506
Temperature (C),16.69666667,Reference,16.79011353,0.433838836,16.0559452,17.46482571,16.35591979,17.20393779,16.50503521,17.05759568
Gravitational moisture (%),27.87420834,Balled-and-burlapped,27.00391203,1.356541942,24.86354884,29.21300331,25.57948925,28.27605771,26.02301735,27.70366706
Gravitational moisture (%),27.87420834,Bareroot,25.63544666,1.240295649,23.50985815,27.65032271,24.37991967,26.83559101,24.72497408,26.29731201
Gravitational moisture (%),27.87420834,Seedling,25.44897411,1.295500802,23.20616159,27.41495121,24.1163933,26.65752378,24.50908412,26.15200679
Gravitational moisture (%),27.87420834,Acorn,30.45452207,1.460411783,28.03097277,32.77843498,28.92784219,31.75676677,29.71603589,31.5122333
Gravitational moisture (%),27.87420834,Seedbank,28.75556611,1.364660317,26.43465739,30.90069974,27.17351618,29.91575094,27.94106021,29.66219766
Gravitational moisture (%),27.87420834,Reference,29.72323805,1.37465302,27.57288133,32.12150775,28.41402977,31.08924157,28.73457867,30.4529244
Bulk density (g/cm3),0.877572124,Balled-and-burlapped,0.952448059,0.028444032,0.90608919,0.996673411,0.926212458,0.982260104,0.93054445,0.967119383
Bulk density (g/cm3),0.877572124,Bareroot,0.855909732,0.028143977,0.810860918,0.901337206,0.826635911,0.881915031,0.837641115,0.872041483
Bulk density (g/cm3),0.877572124,Seedling,0.859729449,0.02671317,0.813707809,0.899949855,0.834118055,0.887045737,0.845022999,0.878613534
Bulk density (g/cm3),0.877572124,Acorn,0.774276627,0.026550126,0.728351051,0.814798746,0.748080165,0.800556928,0.761050066,0.794858845
Bulk density (g/cm3),0.877572124,Seedbank,0.885845819,0.027528359,0.844616472,0.931800788,0.856588247,0.911501231,0.865986868,0.901436449
Bulk density (g/cm3),0.877572124,Reference,0.933429271,0.028030784,0.890580097,0.98230136,0.905362255,0.959563933,0.914595275,0.950145514
Sand (%),40.73333333,Balled-and-burlapped,38.03535806,1.879345523,35.05820773,41.06614289,35.89779087,39.54990761,36.91022297,39.20666109
Sand (%),40.73333333,Bareroot,39.35024334,1.7991525,36.37951196,42.25347327,37.51418237,41.03560022,38.17306866,40.4748688
Sand (%),40.73333333,Seedling,40.11039338,1.898808653,36.90300773,43.12257139,38.30920314,42.04811501,38.78338596,41.12468947
Sand (%),40.73333333,Acorn,40.04728237,1.97257537,36.76200203,43.11380115,38.10677005,41.92390369,38.60036213,41.06527353
Sand (%),40.73333333,Seedbank,41.02335348,1.96939874,37.87275007,44.26843337,39.12756313,42.97811609,39.82988692,42.31477256
Sand (%),40.73333333,Reference,45.51586262,2.146786486,42.20445812,49.21383377,43.53101002,47.61947223,44.48548508,47.06599464
Silt (%),42.11111111,Balled-and-burlapped,44.59813619,2.359713874,40.77809409,48.4007654,42.32648774,46.84726493,43.07994294,45.95016905
Silt (%),42.11111111,Bareroot,42.61853174,2.170478368,39.11546948,46.01221606,40.41960452,44.6519343,40.7903987,43.46255782
Silt (%),42.11111111,Seedling,43.14212087,2.28691846,39.45441788,46.74179011,40.70556551,45.18717591,41.793684,44.68715176
Silt (%),42.11111111,Acorn,42.54531357,2.256100128,38.71641335,46.1236774,40.20041133,44.61540611,41.03245044,43.82792309
Silt (%),42.11111111,Seedbank,41.54510248,2.16729037,37.93846965,44.89043431,39.2536851,43.43873383,39.80172797,42.54654392
Silt (%),42.11111111,Reference,38.05958407,2.076886307,34.88355894,41.51523332,36.15259129,40.22815114,36.46830867,39.04943579
Clay (%),17.15555556,Balled-and-burlapped,17.29063898,0.931308827,15.68510068,18.64196757,16.36717755,18.09359232,16.52177091,17.6394992
Clay (%),17.15555556,Bareroot,17.84170258,0.894203234,16.51112276,19.40110572,17.08924982,18.71936707,17.19126404,18.23144882
Clay (%),17.15555556,Seedling,16.73362772,0.838500496,15.35604274,18.13272035,15.86280499,17.42310258,16.15800933,17.09436386
Clay (%),17.15555556,Acorn,17.30510167,0.868522065,15.82084478,18.65975303,16.3449186,18.03370957,16.78689396,17.78442831
Clay (%),17.15555556,Seedbank,17.47809679,0.933022271,15.93556112,18.70357272,16.83838094,18.67895259,16.80829577,18.04792573
Clay (%),17.15555556,Reference,16.28501977,0.887423674,14.62050595,17.38664809,15.62414947,17.32264769,15.64053842,16.80342207
NO3 (ppm),9.31,Balled-and-burlapped,9.763023166,0.931799931,8.193622365,11.18522925,8.848385308,10.72009579,9.112974719,10.33101041
NO3 (ppm),9.31,Bareroot,7.392376543,0.882039615,5.949434014,8.83025057,6.296740328,8.118010333,6.805431826,7.977069323
NO3 (ppm),9.31,Seedling,8.105337907,0.854318404,6.664114531,9.383091297,7.258005679,8.983365517,7.518074776,8.60935318
NO3 (ppm),9.31,Acorn,10.90815593,0.976379195,9.295011713,12.42986558,9.925517748,11.81878354,10.14884891,11.36638245
NO3 (ppm),9.31,Seedbank,9.252179041,0.935179927,7.835033028,10.7254679,8.209960328,10.04015137,8.520314824,9.703079325
NO3 (ppm),9.31,Reference,9.986462891,0.981349022,8.411721008,11.51140279,9.011027376,10.8581081,9.357740589,10.5515112
NH4 (ppm),1.081111111,Balled-and-burlapped,1.140445274,0.083335155,1.000496042,1.270644585,1.058730468,1.229109986,1.077905082,1.184607882
NH4 (ppm),1.081111111,Bareroot,1.110144835,0.08326137,0.981398797,1.251387979,1.024653513,1.192895111,1.044634036,1.152869808
NH4 (ppm),1.081111111,Seedling,1.009583098,0.081090312,0.874098962,1.135789858,0.928305237,1.091726359,0.948337639,1.055446836
NH4 (ppm),1.081111111,Acorn,1.095870665,0.084886459,0.955845795,1.233116024,1.006709125,1.175447491,1.043580844,1.150084846
NH4 (ppm),1.081111111,Seedbank,0.998965221,0.083132749,0.855527808,1.124046386,0.916188929,1.082153883,0.942434667,1.050369197
NH4 (ppm),1.081111111,Reference,1.102319342,0.085440394,0.962475487,1.242515954,1.011726643,1.182520667,1.048580263,1.15814909
P (ppm),106.2333333,Balled-and-burlapped,111.59981,5.003990663,103.3950442,119.2800313,106.9895058,117.096225,107.997603,114.3638043
P (ppm),106.2333333,Bareroot,114.7547856,5.061114569,106.7365664,122.8234469,110.2890816,119.9128145,111.3938849,117.3656802
P (ppm),106.2333333,Seedling,110.8529857,4.793452222,103.8882636,119.4528739,105.9275164,115.1796557,107.1819591,112.9825105
P (ppm),106.2333333,Acorn,111.0979776,4.743458678,103.7467499,119.0668301,106.1781,115.4579891,108.1099682,113.7748542
P (ppm),106.2333333,Seedbank,107.5715482,4.499946232,100.6974254,115.5234608,102.7202355,111.5142441,104.9256215,110.3463916
P (ppm),106.2333333,Reference,81.15452974,4.227792643,74.47950097,87.87619358,76.82729132,85.25373545,77.88893742,83.21153107
K (ppm),67.74444444,Balled-and-burlapped,61.32227483,6.727095587,50.63562883,72.22693632,55.1547271,68.73402566,56.19722933,64.90208539
K (ppm),67.74444444,Bareroot,64.73043059,6.666060041,53.69379554,75.2756309,57.99521201,71.2273487,60.87602722,69.15286269
K (ppm),67.74444444,Seedling,53.65672168,6.427707694,44.13788375,64.74051838,46.99801917,59.92396182,49.13120907,57.55715508
K (ppm),67.74444444,Acorn,84.2639427,8.0028061,71.45349765,96.21155411,75.60447357,90.8633251,79.9380097,89.71638848
K (ppm),67.74444444,Seedbank,76.85179534,7.515839473,64.46145547,88.12818969,69.26185734,83.93808599,71.57923054,80.94763431
K (ppm),67.74444444,Reference,62.41430784,6.845983101,51.5208951,73.75647261,54.71076307,68.06115407,57.29317207,66.14561209
Ca (ppm),6541.288889,Balled-and-burlapped,6714.984036,313.3184149,6183.490537,7194.364591,6363.446441,6974.123968,6491.519702,6875.681211
Ca (ppm),6541.288889,Bareroot,6406.45519,294.9726844,5931.238378,6878.575106,6088.764721,6660.625665,6220.34968,6584.179288
Ca (ppm),6541.288889,Seedling,6352.080278,304.1932493,5843.192006,6821.726715,6053.106576,6643.848732,6154.731428,6525.645359
Ca (ppm),6541.288889,Acorn,7065.856359,320.4303718,6543.240191,7570.016324,6739.461488,7360.959005,6875.20268,7270.014048
Ca (ppm),6541.288889,Seedbank,6626.096387,301.9727853,6128.963958,7090.913842,6340.208941,6920.20521,6427.920782,6806.020063
Ca (ppm),6541.288889,Reference,6029.432222,283.1782072,5546.872325,6483.208352,5755.588086,6314.92465,5834.719682,6199.892938
Mg (ppm),560.5888889,Balled-and-burlapped,507.3398875,24.23178284,479.1835981,548.7834496,482.6954027,525.9368342,482.6954027,511.0192795
Mg (ppm),560.5888889,Bareroot,554.5968578,21.8111028,520.0260563,590.1624385,533.6795784,574.529887,545.0145647,566.3799363
Mg (ppm),560.5888889,Seedling,536.6144255,23.60035426,500.5356468,573.7846309,519.031315,560.7509438,519.1948875,543.4265303
Mg (ppm),560.5888889,Acorn,552.2943644,22.31652348,513.9193356,587.105199,531.6937249,571.1033083,539.6116523,561.5904842
Mg (ppm),560.5888889,Seedbank,526.0599586,21.17429817,493.7265486,564.3843768,504.5206742,544.1829625,517.0817152,538.0977411
Mg (ppm),560.5888889,Reference,666.6356189,23.12008563,630.9640062,706.4290825,646.7305961,690.245146,657.0616295,680.4843462
K (meq),0.168888889,Balled-and-burlapped,0.158177566,0.017435811,0.12726621,0.183951353,0.138057883,0.17284958,0.145361543,0.167819077
K (meq),0.168888889,Bareroot,0.152249363,0.017360498,0.123553102,0.180172736,0.137054963,0.17203419,0.141985656,0.163688697
K (meq),0.168888889,Seedling,0.111841509,0.017027446,0.084167094,0.139757257,0.094954615,0.129625048,0.100217922,0.122376216
K (meq),0.168888889,Acorn,0.231151454,0.020000724,0.200528631,0.264761398,0.211167791,0.251103458,0.217676287,0.242999415
K (meq),0.168888889,Seedbank,0.211041529,0.01966217,0.180996942,0.243994098,0.190547601,0.22906322,0.197980796,0.222728388
K (meq),0.168888889,Reference,0.139280972,0.017333729,0.112007187,0.166646822,0.12359351,0.158227067,0.125520493,0.14803771
Ca (meq),32.71222222,Balled-and-burlapped,33.50233409,1.49900879,30.80367732,35.70908636,31.81644124,34.74462474,32.54968549,34.42292533
Ca (meq),32.71222222,Bareroot,32.06432802,1.433479705,29.95739412,34.55530473,30.40288108,33.14372728,31.25886689,32.98704888
Ca (meq),32.71222222,Seedling,31.75910362,1.441767537,29.29066242,33.96345781,30.28161541,33.02440509,30.7859549,32.49859268
Ca (meq),32.71222222,Acorn,35.41382059,1.578089802,32.84318471,37.84208247,33.96153553,36.96397451,34.37559539,36.25360325
Ca (meq),32.71222222,Seedbank,33.11006836,1.502106884,30.58802451,35.49107926,31.64751645,34.56068541,32.06996994,33.89226022
Ca (meq),32.71222222,Reference,30.05491156,1.37382525,27.81634441,32.28106309,28.63949692,31.34726042,29.05433729,30.79839186
Mg (meq),4.677777778,Balled-and-burlapped,4.296801154,0.202645383,3.977120891,4.6211568,4.064985449,4.475103426,4.170350827,4.429405885
Mg (meq),4.677777778,Bareroot,4.655654474,0.21125591,4.315505052,5.002131709,4.439840993,4.849013409,4.536047614,4.811162618
Mg (meq),4.677777778,Seedling,4.512523038,0.209441298,4.146622566,4.828781041,4.321356093,4.729481435,4.363468477,4.624549974
Mg (meq),4.677777778,Acorn,4.578147047,0.207526433,4.220405288,4.890453128,4.35641148,4.773784389,4.451684052,4.721925132
Mg (meq),4.677777778,Seedbank,4.404821565,0.207437506,4.063790519,4.73433732,4.19470562,4.61665383,4.254985539,4.527679078
Mg (meq),4.677777778,Reference,5.577338503,0.228971095,5.237352714,5.975759265,5.391416562,5.84307479,5.404722797,5.687490781
CEC (meq/100 g),37.56333333,Balled-and-burlapped,37.92396755,1.460359738,35.50461178,40.27575187,36.3046088,39.17576427,37.07338762,38.88008622
CEC (meq/100 g),37.56333333,Bareroot,36.93551199,1.459707072,34.72835837,39.55303372,35.4705508,38.36888702,36.17903825,38.00920614
CEC (meq/100 g),37.56333333,Seedling,36.41064517,1.470773307,34.21955613,38.97059928,34.91767672,37.82207539,35.22576226,37.12558287
CEC (meq/100 g),37.56333333,Acorn,40.24791698,1.490931157,38.07552157,42.85063214,38.62920889,41.49061667,39.4280305,41.29446193
CEC (meq/100 g),37.56333333,Seedbank,37.7992478,1.483879073,35.5470296,40.2287453,36.1996336,39.04536976,36.63689517,38.48354692
CEC (meq/100 g),37.56333333,Reference,35.90382115,1.441317748,33.56478317,38.16310829,34.51897239,37.34794229,35.10430938,36.87753645
pH,7.636666667,Balled-and-burlapped,7.693686831,0.049093289,7.618924727,7.775674508,7.647178741,7.745440966,7.656097796,7.718774499
pH,7.636666667,Bareroot,7.738599675,0.049254271,7.654690811,7.814236855,7.693172658,7.792163957,7.712958048,7.776091296
pH,7.636666667,Seedling,7.652835584,0.049622031,7.571041101,7.728955324,7.602984806,7.701415074,7.620868105,7.68396944
pH,7.636666667,Acorn,7.633267442,0.047452492,7.559991061,7.709044252,7.59121614,7.683553748,7.601160764,7.660893545
pH,7.636666667,Seedbank,7.595938976,0.049596707,7.515747664,7.673938117,7.548257997,7.643417147,7.561507521,7.62229296
pH,7.636666667,Reference,7.499766962,0.049886522,7.418086262,7.578919913,7.453817429,7.550608891,7.471480765,7.532992007
Floating POM,0.241056201,Balled-and-burlapped,0.142777642,0.044273118,0.072254175,0.214308616,0.095487477,0.185374871,0.109997331,0.167544687
Floating POM,0.241056201,Bareroot,0.269642312,0.05081028,0.195065248,0.360432647,0.213759405,0.315234594,0.227979612,0.29332409
Floating POM,0.241056201,Seedling,0.288318978,0.052386215,0.208394748,0.37297825,0.234170318,0.33583471,0.257685231,0.321965406
Floating POM,0.241056201,Acorn,0.183795979,0.047243979,0.105163587,0.256902184,0.134681416,0.23229214,0.15577507,0.218486736
Floating POM,0.241056201,Seedbank,0.218794337,0.049457407,0.134503753,0.298163832,0.164883161,0.262857775,0.181324656,0.242986894
Floating POM,0.241056201,Reference,0.333887093,0.06659477,0.225954761,0.441530502,0.258321648,0.396617804,0.285236056,0.374764604
>4.75 mm,7.48076142,Balled-and-burlapped,6.520517765,0.937037293,4.96316966,7.989018259,5.608882944,7.443489673,5.803612572,6.991100485
>4.75 mm,7.48076142,Bareroot,6.599967837,0.911354602,5.200374181,8.153367898,5.48883803,7.40018486,6.010161265,7.254693807
>4.75 mm,7.48076142,Seedling,6.263871638,0.915480858,4.703155098,7.653370056,5.283102823,7.117257588,5.775925949,6.99412479
>4.75 mm,7.48076142,Acorn,8.991034116,1.005694858,7.453611358,10.67946332,7.954623095,9.97006976,8.283019543,9.614098174
>4.75 mm,7.48076142,Seedbank,10.71572623,1.042706895,9.072887593,12.48629423,9.642212367,11.74563381,9.909140173,11.24345949
>4.75 mm,7.48076142,Reference,5.078704878,0.852532001,3.774830877,6.535923029,4.097026968,5.830551431,4.371125734,5.479575207
