variable,variable.label,variable.mean,treatment,posterior.mean,posterior.sd,5,95,25,75
silt,Silt (%),42.11111111,Reference,38.05958407,2.076886307,34.88355894,41.51523332,36.46830867,39.04943579
clay,Clay (%),17.15555556,Balled-and-burlapped,17.29063898,0.931308827,15.68510068,18.64196757,16.52177091,17.6394992
clay,Clay (%),17.15555556,Bareroot,17.84170258,0.894203234,16.51112276,19.40110572,17.19126404,18.23144882
clay,Clay (%),17.15555556,Seedling,16.73362772,0.838500496,15.35604274,18.13272035,16.15800933,17.09436386
clay,Clay (%),17.15555556,Acorn,17.30510167,0.868522065,15.82084478,18.65975303,16.78689396,17.78442831
clay,Clay (%),17.15555556,Seedbank,17.47809679,0.933022271,15.93556112,18.70357272,16.80829577,18.04792573
clay,Clay (%),17.15555556,Reference,16.28501977,0.887423674,14.62050595,17.38664809,15.64053842,16.80342207
no3.n,NO3-N (ppm),9.31,Balled-and-burlapped,9.763023166,0.931799931,8.193622365,11.18522925,9.112974719,10.33101041
no3.n,NO3-N (ppm),9.31,Bareroot,7.392376543,0.882039615,5.949434014,8.83025057,6.805431826,7.977069323
no3.n,NO3-N (ppm),9.31,Seedling,8.105337907,0.854318404,6.664114531,9.383091297,7.518074776,8.60935318
no3.n,NO3-N (ppm),9.31,Acorn,10.90815593,0.976379195,9.295011713,12.42986558,10.14884891,11.36638245
no3.n,NO3-N (ppm),9.31,Seedbank,9.252179041,0.935179927,7.835033028,10.7254679,8.520314824,9.703079325
no3.n,NO3-N (ppm),9.31,Reference,9.986462891,0.981349022,8.411721008,11.51140279,9.357740589,10.5515112
nh4.n,NH4-N (ppm),1.081111111,Balled-and-burlapped,1.140445274,0.083335155,1.000496042,1.270644585,1.077905082,1.184607882
nh4.n,NH4-N (ppm),1.081111111,Bareroot,1.110144835,0.08326137,0.981398797,1.251387979,1.044634036,1.152869808
nh4.n,NH4-N (ppm),1.081111111,Seedling,1.009583098,0.081090312,0.874098962,1.135789858,0.948337639,1.055446836
nh4.n,NH4-N (ppm),1.081111111,Acorn,1.095870665,0.084886459,0.955845795,1.233116024,1.043580844,1.150084846
nh4.n,NH4-N (ppm),1.081111111,Seedbank,0.998965221,0.083132749,0.855527808,1.124046386,0.942434667,1.050369197
nh4.n,NH4-N (ppm),1.081111111,Reference,1.102319342,0.085440394,0.962475487,1.242515954,1.048580263,1.15814909
p,P (ppm),106.2333333,Balled-and-burlapped,111.59981,5.003990663,103.3950442,119.2800313,107.997603,114.3638043
p,P (ppm),106.2333333,Bareroot,114.7547856,5.061114569,106.7365664,122.8234469,111.3938849,117.3656802
p,P (ppm),106.2333333,Seedling,110.8529857,4.793452222,103.8882636,119.4528739,107.1819591,112.9825105
p,P (ppm),106.2333333,Acorn,111.0979776,4.743458678,103.7467499,119.0668301,108.1099682,113.7748542
p,P (ppm),106.2333333,Seedbank,107.5715482,4.499946232,100.6974254,115.5234608,104.9256215,110.3463916
p,P (ppm),106.2333333,Reference,81.15452974,4.227792643,74.47950097,87.87619358,77.88893742,83.21153107
k,K (ppm),67.74444444,Balled-and-burlapped,61.32227483,6.727095587,50.63562883,72.22693632,56.19722933,64.90208539
k,K (ppm),67.74444444,Bareroot,64.73043059,6.666060041,53.69379554,75.2756309,60.87602722,69.15286269
k,K (ppm),67.74444444,Seedling,53.65672168,6.427707694,44.13788375,64.74051838,49.13120907,57.55715508
k,K (ppm),67.74444444,Acorn,84.2639427,8.0028061,71.45349765,96.21155411,79.9380097,89.71638848
k,K (ppm),67.74444444,Seedbank,76.85179534,7.515839473,64.46145547,88.12818969,71.57923054,80.94763431
k,K (ppm),67.74444444,Reference,62.41430784,6.845983101,51.5208951,73.75647261,57.29317207,66.14561209
ca,Ca (ppm),6541.288889,Balled-and-burlapped,6714.984036,313.3184149,6183.490537,7194.364591,6491.519702,6875.681211
ca,Ca (ppm),6541.288889,Bareroot,6406.45519,294.9726844,5931.238378,6878.575106,6220.34968,6584.179288
ca,Ca (ppm),6541.288889,Seedling,6352.080278,304.1932493,5843.192006,6821.726715,6154.731428,6525.645359
ca,Ca (ppm),6541.288889,Acorn,7065.856359,320.4303718,6543.240191,7570.016324,6875.20268,7270.014048
ca,Ca (ppm),6541.288889,Seedbank,6626.096387,301.9727853,6128.963958,7090.913842,6427.920782,6806.020063
