model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,posterior.se,5,95,25,75
strip.plot.random,Strip and plot random effects,bulk.density,Bulk density (g/cm3),0.877572124,D,Acorn,-0.209390967,0.06128023,-0.307127348,-0.113237675,-0.248087774,-0.174322746
strip.plot.random,Strip and plot random effects,bulk.density,Bulk density (g/cm3),0.877572124,E,Seedbank,-0.071983265,0.056748339,-0.160152563,0.020237507,-0.107346202,-0.03883893
strip.plot.random,Strip and plot random effects,bulk.density,Bulk density (g/cm3),0.877572124,R,Reference,-0.020294171,0.065510992,-0.125720002,0.079923835,-0.056251006,0.017657618
simple,Fixed effects only,bulk.n.percent,TN (%),0.250444444,A,Balled-and-burlapped,0.109808289,0.032354524,0.057898254,0.163580967,0.087732607,0.131180055
simple,Fixed effects only,bulk.n.percent,TN (%),0.250444444,B,Bareroot,0.053760127,0.044688197,-0.022538981,0.124061489,0.022619222,0.082421611
simple,Fixed effects only,bulk.n.percent,TN (%),0.250444444,C,Seedling,-0.10551754,0.047891999,-0.183801138,-0.027231277,-0.138725807,-0.074266301
simple,Fixed effects only,bulk.n.percent,TN (%),0.250444444,D,Acorn,0.00972013,0.045404993,-0.064846034,0.083604438,-0.022818343,0.038017082
simple,Fixed effects only,bulk.n.percent,TN (%),0.250444444,E,Seedbank,-0.15449327,0.049923106,-0.234118841,-0.069983629,-0.186756398,-0.120078806
simple,Fixed effects only,bulk.n.percent,TN (%),0.250444444,R,Reference,-0.609705663,0.067722641,-0.719446553,-0.497094036,-0.651870747,-0.562578942
strip.random,Strip random effects,bulk.n.percent,TN (%),0.250444444,A,Balled-and-burlapped,0.11193272,0.131913389,-0.100690453,0.320766254,0.030389618,0.186993561
strip.random,Strip random effects,bulk.n.percent,TN (%),0.250444444,B,Bareroot,0.050652783,0.172039377,-0.215335115,0.333142607,-0.052260947,0.150900953
strip.random,Strip random effects,bulk.n.percent,TN (%),0.250444444,C,Seedling,-0.116603284,0.17140789,-0.392924221,0.15593978,-0.212406095,-0.008079121
strip.random,Strip random effects,bulk.n.percent,TN (%),0.250444444,D,Acorn,0.008221738,0.186994076,-0.289193574,0.307354125,-0.098268399,0.123551635
strip.random,Strip random effects,bulk.n.percent,TN (%),0.250444444,E,Seedbank,-0.170366132,0.173111251,-0.439269141,0.111667643,-0.271041183,-0.065964066
strip.random,Strip random effects,bulk.n.percent,TN (%),0.250444444,R,Reference,-0.610147014,0.231712719,-0.978846998,-0.242871442,-0.739634423,-0.462597439
strip.plot.random,Strip and plot random effects,bulk.n.percent,TN (%),0.250444444,A,Balled-and-burlapped,0.110914492,0.123913543,-0.084395202,0.312079361,0.038338712,0.185864902
strip.plot.random,Strip and plot random effects,bulk.n.percent,TN (%),0.250444444,B,Bareroot,0.051401614,0.165913047,-0.213551981,0.317998103,-0.046938046,0.153371772
strip.plot.random,Strip and plot random effects,bulk.n.percent,TN (%),0.250444444,C,Seedling,-0.116696989,0.167565249,-0.382939695,0.154815157,-0.217536199,-0.017933677
strip.plot.random,Strip and plot random effects,bulk.n.percent,TN (%),0.250444444,D,Acorn,0.005776195,0.177310552,-0.267452619,0.299751834,-0.107735289,0.102402243
strip.plot.random,Strip and plot random effects,bulk.n.percent,TN (%),0.250444444,E,Seedbank,-0.168995875,0.167098225,-0.433752791,0.103284903,-0.268838432,-0.068985779
strip.plot.random,Strip and plot random effects,bulk.n.percent,TN (%),0.250444444,R,Reference,-0.611128658,0.203115962,-0.924707048,-0.279101365,-0.727331904,-0.493894197
simple,Fixed effects only,bulk.c.percent,TC (%),4.265777778,A,Balled-and-burlapped,-0.076286806,0.035297481,-0.133573615,-0.017710848,-0.097716138,-0.050565712
simple,Fixed effects only,bulk.c.percent,TC (%),4.265777778,B,Bareroot,0.031652721,0.049068028,-0.046382768,0.114827007,-8.53E-05,0.065523462
simple,Fixed effects only,bulk.c.percent,TC (%),4.265777778,C,Seedling,0.042734737,0.048595028,-0.034910534,0.124862994,0.008302107,0.073533274
simple,Fixed effects only,bulk.c.percent,TC (%),4.265777778,D,Acorn,0.114261087,0.047163208,0.034495427,0.189988923,0.083876959,0.147118259
simple,Fixed effects only,bulk.c.percent,TC (%),4.265777778,E,Seedbank,0.109009158,0.047260017,0.03162318,0.186111226,0.079067014,0.142027496
simple,Fixed effects only,bulk.c.percent,TC (%),4.265777778,R,Reference,0.142561381,0.046605324,0.066633862,0.219622921,0.114509265,0.177186581
strip.random,Strip random effects,bulk.c.percent,TC (%),4.265777778,A,Balled-and-burlapped,-0.077708339,0.052913742,-0.162917611,0.00529643,-0.106432112,-0.04218504
strip.random,Strip random effects,bulk.c.percent,TC (%),4.265777778,B,Bareroot,0.032036552,0.070878796,-0.080232428,0.145450389,-0.014735218,0.072017759
strip.random,Strip random effects,bulk.c.percent,TC (%),4.265777778,C,Seedling,0.043140926,0.069895081,-0.068544851,0.155311164,0.001831274,0.087986547
strip.random,Strip random effects,bulk.c.percent,TC (%),4.265777778,D,Acorn,0.125965965,0.073337014,0.007164945,0.240702619,0.078452317,0.166621717
strip.random,Strip random effects,bulk.c.percent,TC (%),4.265777778,E,Seedbank,0.109808558,0.069739331,-0.001889211,0.220488091,0.069203227,0.154019295
strip.random,Strip random effects,bulk.c.percent,TC (%),4.265777778,R,Reference,0.143981672,0.082949452,0.01413112,0.276247806,0.096119759,0.19144469
strip.plot.random,Strip and plot random effects,bulk.c.percent,TC (%),4.265777778,A,Balled-and-burlapped,-0.0780846,0.055304629,-0.165986413,0.011898388,-0.110345448,-0.04277558
strip.plot.random,Strip and plot random effects,bulk.c.percent,TC (%),4.265777778,B,Bareroot,0.03217395,0.074692991,-0.087397399,0.152972007,-0.008697758,0.083714118
strip.plot.random,Strip and plot random effects,bulk.c.percent,TC (%),4.265777778,C,Seedling,0.043357842,0.074448669,-0.076635916,0.162945402,-0.001496667,0.090487515
strip.plot.random,Strip and plot random effects,bulk.c.percent,TC (%),4.265777778,D,Acorn,0.124352155,0.076819103,-0.00322414,0.242949196,0.073961571,0.167143942
strip.plot.random,Strip and plot random effects,bulk.c.percent,TC (%),4.265777778,E,Seedbank,0.109558419,0.073631269,-0.008956802,0.226562423,0.065113481,0.155679143
strip.plot.random,Strip and plot random effects,bulk.c.percent,TC (%),4.265777778,R,Reference,0.143882816,0.085238174,0.005415076,0.27676661,0.094911337,0.195192753
simple,Fixed effects only,bulk.cn.ratio,C:N Ratio,16.69744444,A,Balled-and-burlapped,-0.164813291,0.031871723,-0.216961936,-0.111954781,-0.183861509,-0.141675136
simple,Fixed effects only,bulk.cn.ratio,C:N Ratio,16.69744444,B,Bareroot,-0.020441997,0.045186998,-0.095030702,0.052807838,-0.047496076,0.013047212
simple,Fixed effects only,bulk.cn.ratio,C:N Ratio,16.69744444,C,Seedling,0.174653332,0.041473,0.105755257,0.241412384,0.146340818,0.202122251
simple,Fixed effects only,bulk.cn.ratio,C:N Ratio,16.69744444,D,Acorn,0.035898344,0.044195848,-0.036381934,0.108265087,0.006915312,0.065713853
simple,Fixed effects only,bulk.cn.ratio,C:N Ratio,16.69744444,E,Seedbank,0.226742431,0.040551645,0.160993649,0.294719991,0.199634835,0.254136235
simple,Fixed effects only,bulk.cn.ratio,C:N Ratio,16.69744444,R,Reference,0.473303194,0.037371574,0.412951703,0.535646146,0.447656163,0.497504196
strip.random,Strip random effects,bulk.cn.ratio,C:N Ratio,16.69744444,A,Balled-and-burlapped,-0.169188124,0.104568213,-0.332136404,0.00125738,-0.22874662,-0.104144541
strip.random,Strip random effects,bulk.cn.ratio,C:N Ratio,16.69744444,B,Bareroot,-0.016944733,0.134899546,-0.24432283,0.18865962,-0.09854396,0.062807902
strip.random,Strip random effects,bulk.cn.ratio,C:N Ratio,16.69744444,C,Seedling,0.170130696,0.134931463,-0.049302349,0.38142255,0.095758275,0.256227192
strip.random,Strip random effects,bulk.cn.ratio,C:N Ratio,16.69744444,D,Acorn,0.037502975,0.147021161,-0.190799619,0.278152407,-0.054098088,0.122158176
strip.random,Strip random effects,bulk.cn.ratio,C:N Ratio,16.69744444,E,Seedbank,0.225050886,0.135303802,0.01285641,0.44505459,0.143103602,0.304881075
strip.random,Strip random effects,bulk.cn.ratio,C:N Ratio,16.69744444,R,Reference,0.476911741,0.178091593,0.189126965,0.759069333,0.375201275,0.587392938
strip.plot.random,Strip and plot random effects,bulk.cn.ratio,C:N Ratio,16.69744444,A,Balled-and-burlapped,-0.16773649,0.098434039,-0.323875124,-0.009430247,-0.22310357,-0.105930675
strip.plot.random,Strip and plot random effects,bulk.cn.ratio,C:N Ratio,16.69744444,B,Bareroot,-0.018455229,0.130960244,-0.228628054,0.191227679,-0.096542969,0.059508302
strip.plot.random,Strip and plot random effects,bulk.cn.ratio,C:N Ratio,16.69744444,C,Seedling,0.168396401,0.129326884,-0.040663666,0.371172655,0.091076504,0.24747323
strip.plot.random,Strip and plot random effects,bulk.cn.ratio,C:N Ratio,16.69744444,D,Acorn,0.036193037,0.137679451,-0.190273958,0.251389982,-0.04982887,0.113602149
strip.plot.random,Strip and plot random effects,bulk.cn.ratio,C:N Ratio,16.69744444,E,Seedbank,0.224383523,0.129606152,0.011236715,0.423772165,0.146449893,0.300504469
strip.plot.random,Strip and plot random effects,bulk.cn.ratio,C:N Ratio,16.69744444,R,Reference,0.476782051,0.160256529,0.217780668,0.726080001,0.38773236,0.572032174
simple,Fixed effects only,toc.percent,TOC (%),3.896777778,A,Balled-and-burlapped,-0.197202401,0.046068789,-0.272804531,-0.122202292,-0.227607078,-0.165873504
simple,Fixed effects only,toc.percent,TOC (%),3.896777778,B,Bareroot,0.07155709,0.062857131,-0.032305038,0.172432003,0.031980774,0.116479594
simple,Fixed effects only,toc.percent,TOC (%),3.896777778,C,Seedling,0.077356219,0.062540975,-0.024496153,0.181078262,0.039281547,0.123348222
simple,Fixed effects only,toc.percent,TOC (%),3.896777778,D,Acorn,0.289629862,0.05746271,0.194457712,0.382292171,0.251309843,0.327798802
simple,Fixed effects only,toc.percent,TOC (%),3.896777778,E,Seedbank,0.320027469,0.057060932,0.229024694,0.415796932,0.280636904,0.356625223
simple,Fixed effects only,toc.percent,TOC (%),3.896777778,R,Reference,0.353562002,0.056425737,0.261601503,0.446863065,0.311490513,0.386316026
strip.random,Strip random effects,toc.percent,TOC (%),3.896777778,A,Balled-and-burlapped,-0.19978823,0.065296098,-0.303559843,-0.093363106,-0.237912113,-0.158126552
strip.random,Strip random effects,toc.percent,TOC (%),3.896777778,B,Bareroot,0.072525287,0.086810175,-0.062655789,0.216546614,0.013585387,0.12068241
