Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes
2-Sep,>250 um,A2 Q2,13.42,62.45,49.03,7/6/2023,7/12/2023 13:30,7/15/2023 16:00,7/16/2023 16:00,
2-Oct,>53 um,A2 Q2,2.21,6.93,4.72,7/6/2023,7/12/2023 13:30,7/13/2023 13:00,7/14/2023 13:00,Did not record mass on day removed; had to transfer to new tin and re-mass
2-Nov,Full,D2 Q4,13.28,113.43,100.15,7/6/2023,,,,
11.5-2,fPOM,D2 Q4,13.54,13.6,0.06,7/6/2023,7/12/2023 13:30,7/14/2023 16:35,7/15/2023 16:00,
2-Dec,>4.75 mm,D2 Q4,13.26,27.11,13.85,7/6/2023,7/13/2023 13:00,7/14/2023 12:50,7/15/2023 16:00,
13-2,>2 mm,D2 Q4,13.32,41.45,28.13,7/6/2023,7/13/2023 13:00,7/15/2023 16:00,7/16/2023 16:00,
14-2,>250 um,D2 Q4,13.44,51.66,38.22,7/6/2023,7/13/2023 13:00,7/14/2023 12:50,7/15/2023 16:00,
15-2,>53 um,D2 Q4,13.97,20.04,6.07,7/6/2023,7/11/2023 18:00,7/12/2023 12:30,7/13/2023 13:00,
16-2,Full,E2 Q3,13.34,113.38,100.04,7/6/2023,,,,
16.5-2,fPOM,E2 Q3,13.55,13.68,0.13,7/6/2023,7/13/2023 13:00,7/14/2023 12:50,7/15/2023 16:00,
17-2,>4.75 mm,E2 Q3,13.33,30.84,17.51,7/6/2023,7/13/2023 13:00,7/14/2023 12:50,7/15/2023 16:00,
18-2,>2 mm,E2 Q3,13.4,40.22,26.82,7/6/2023,7/13/2023 13:00,7/15/2023 16:00,7/16/2023 16:00,
19-2,>250 um,E2 Q3,13.66,48.39,34.73,7/6/2023,7/11/2023 18:00,7/12/2023 12:30,7/13/2023 13:00,
20-2,>53 um,E2 Q3,13.46,18.04,4.58,7/6/2023,7/11/2023 18:00,7/12/2023 12:30,7/13/2023 13:00,
21-2,Full,E2 Q2,13.3,113.43,100.13,7/6/2023,,,,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting"
21.5-2,fPOM,E2 Q2,13.48,13.91,0.43,7/6/2023,7/13/2023 13:00,7/16/2023 16:30,7/17/2023 16:30,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting"
22-2,>4.75 mm,E2 Q2,16.35,22.75,6.4,7/6/2023,7/13/2023 13:00,7/14/2023 12:50,7/15/2023 16:00,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting"
23-2,>2 mm,E2 Q2,13.32,43.32,30,7/6/2023,7/13/2023 13:00,7/16/2023 16:30,7/17/2023 16:30,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting"
24-2,>250 um,E2 Q2,13.37,50.93,37.56,7/6/2023,7/13/2023 13:00,7/15/2023 16:00,7/16/2023 16:00,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting"
25-2,>53 um,E2 Q2,13.54,20.24,6.7,7/6/2023,7/14/2023 13:00,7/15/2023 16:00,7/16/2023 16:00,"Accidently switched top and bottom sieve, tried to re-do, but had issue with water film resisting"
26-2,Full,B3 Q2,16.31,116.73,100.42,7/6/2023,,,,
26.5-2,fPOM,B3 Q2,13.32,13.99,0.67,7/6/2023,7/15/2023 16:00,7/17/2023 16:30,7/18/2023 16:00,
27-2,>4.75 mm,B3 Q2,13.42,18.48,5.06,7/6/2023,7/15/2023 16:00,7/16/2023 16:30,7/17/2023 16:30,
28-2,>2 mm,B3 Q2,16.16,38.31,22.15,7/6/2023,7/15/2023 16:00,7/17/2023 16:30,7/18/2023 16:00,
29-2,>250 um,B3 Q2,16.43,66.62,50.19,7/6/2023,7/11/2023 18:00,7/12/2023 12:30,7/13/2023 13:00,
30-2,>53 um,B3 Q2,13.55,22.23,8.68,7/6/2023,7/11/2023 18:00,7/12/2023 12:30,7/13/2023 13:00,
31-2,Full,B1 Q1,16.17,116.59,100.42,7/6/2023,,,,
31.5-2,fPOM,B1 Q1,13.23,13.58,0.35,7/6/2023,7/15/2023 16:00,7/19/2023 10:30,7/20/2019 10:40,
32-2,>4.75 mm,B1 Q1,16.19,25.2,9.01,7/6/2023,7/15/2023 16:00,7/17/2023 16:30,7/18/2023,
33-2,>2 mm,B1 Q1,16.43,42.11,25.68,7/6/2023,7/15/2023 16:00,7/16/2023 16:30,7/17/2023 16:30,
34-2,>250 um,B1 Q1,16.27,60.69,44.42,7/6/2023,7/15/2023 16:00,7/17/2023 16:30,7/18/2023 16:30,
