Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes
135-3,>53 um,E3 Q4,13.16,17.36,4.2,8/3/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
136-3,Full,A2 Q1,13.32,113.57,100.25,8/3/2023,,,,
136.5-3,fPOM,A2 Q1,11.97,12.12,0.15,8/3/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
137-3,>4.75 mm,A2 Q1,13.43,23.9,10.47,8/3/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
138-3,>2 mm,A2 Q1,14.9,36.83,21.93,8/3/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
139-3,>250 um,A2 Q1,12.08,64.75,52.67,8/3/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
140-3,>53 um,A2 Q1,11.98,20.9,8.92,8/3/2023,8/25/2023 10:50,8/25/2023 10:50,8/27/2023 11:30,
141-3,Full,B1 Q2,13.28,113.31,100.03,8/3/2023,,,,
141.5-3,fPOM,B1 Q2,14.88,14.98,0.1,8/3/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
142-3,>4.75 mm,B1 Q2,13.53,23.45,9.92,8/3/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
143-3,>2 mm,B1 Q2,13.06,36.71,23.65,8/3/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
144-3,>250 um,B1 Q2,13.17,65.89,52.72,8/3/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
145-3,>53 um,B1 Q2,13.39,20.24,6.85,8/3/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
146-3,Full,A1 Q3,13.28,113.41,100.13,8/3/2023,,,,
146.5-3,fPOM,A1 Q3,11.95,12.06,0.11,8/3/2023,9/8/2023 10:45,9/8/2023 10:45,9/10/2023 11:50,
147-3,>4.75 mm,A1 Q3,13.23,17.9,4.67,8/3/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
148-3,>2 mm,A1 Q3,14.87,43.37,28.5,8/3/2023,9/8/2023 10:45,9/8/2023 10:45,9/10/2023 11:50,
149-3,>250 um,A1 Q3,11.97,64.17,52.2,8/3/2023,8/25/2023 11:30,8/25/2023 11:30,8/27/2023 11:30,
150-3,>53 um,A1 Q3,13.4,21.03,7.63,8/3/2023,8/25/2023 10:50,8/25/2023 10:50,8/27/2023 11:30,
151-3,Full,C1 Q5,13.32,113.52,100.2,8/4/2023,,,,
151.5-3,fPOM,C1 Q5,13.35,13.55,0.2,8/4/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
152-3,>4.75 mm,C1 Q5,13.25,17.27,4.02,8/4/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
153-3,>2 mm,C1 Q5,12.07,40.67,28.6,8/4/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
154-3,>250 um,C1 Q5,13.22,64.01,50.79,8/4/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
155-3,>53 um,C1 Q5,14.97,23.14,8.17,8/4/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
156-3,Full,A1 Q4,13.07,113.29,100.22,8/4/2023,,,,
156.5-3,fPOM,A1 Q4,13.35,13.67,0.32,8/4/2023,9/12/2023 12:00,9/12/2023 12:00,9/14/2023 12:30,
157-3,>4.75 mm,A1 Q4,13.35,21.22,7.87,8/4/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
158-3,>2 mm,A1 Q4,13.3,39.11,25.81,8/4/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
159-3,>250 um,A1 Q4,13.31,63.34,50.03,8/4/2023,8/28/2023 12:00,8/28/2023 12:00,8/31/2023 12:20,
160-3,>53 um,A1 Q4,13.26,22.38,9.12,8/4/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
161-3,Full,C2 Q3,14.99,115.06,100.07,8/11/2023,,,,
161.5-3,fPOM,C2 Q3,13.25,13.48,0.23,8/11/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
162-3,>4.75 mm,C2 Q3,13.16,17.84,4.68,8/11/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
163-3,>2 mm,C2 Q3,13.43,34.15,20.72,8/11/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
164-3,>250 um,C2 Q3,12.06,67.6,55.54,8/11/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
165-3,>53 um,C2 Q3,13.45,24.7,11.25,8/11/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
166-5,Full,A2 Q3,11.96,112.16,100.2,8/11/2023,,,,
166.5-3,fPOM,A2 Q3,11.95,12.02,0.07,8/11/2023,9/10/2023 12:00,9/10/2023 12:00,9/12/2023 12:00,
167-3,>4.75 mm,A2 Q3,13.53,15.66,2.13,8/11/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
168-3,>2 mm,A2 Q3,13.31,26.62,13.31,8/11/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
169-3,>250 um,A2 Q3,12.09,72.54,60.45,8/11/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
170-3,>53 um,A2 Q3,13.56,27.9,14.34,8/11/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
171-3,Full,A2 Q4,14.87,114.9,100.03,8/11/2023,,,,
171.5-3,fPOM,A2 Q4,13.25,13.35,0.1,8/11/2023,8/29/2023 12:10,8/29/2023 12:10,8/31/2023 12:20,
172-3,>4.75 mm,A2 Q4,13.46,23.56,10.1,8/11/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
173-3,>2 mm,A2 Q4,13.12,40.02,26.9,8/11/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
174-3,>250 um,A2 Q4,11.98,58.76,46.78,8/11/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
175-3,>53 um,A2 Q4,11.97,19.77,7.8,8/11/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
176-3,Full,B1 Q3,13.51,113.83,100.32,8/11/2023,,,,
176.5-3,fPOM,B1 Q3,13.24,13.48,0.24,8/11/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
177-3,>4.75 mm,B1 Q3,13.29,19.99,6.7,8/11/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
178-3,>2 mm,B1 Q3,14.91,39.4,24.49,8/11/2023,8/29/2023 12:10,8/29/2023 12:10,8/31/2023 12:20,
179-3,>250 um,B1 Q3,16.28,68.8,52.52,8/11/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
180-3,>53 um,B1 Q3,13.51,21.98,8.47,8/11/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
181-3,Full,B3 Q3,13.4,113.43,100.03,8/11/2023,,,,
181.5-3,fPOM,B3 Q3,13.34,13.61,0.27,8/11/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
182-3,>4.75 mm,B3 Q3,13.31,16.62,3.31,8/11/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
183-3,>2 mm,B3 Q3,13.3,33.21,19.91,8/11/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
184-3,>250 um,B3 Q3,11.98,69.53,57.55,8/11/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
185-3,>53 um,B3 Q3,15.8,24.3,8.5,8/11/2023,8/29/2023 12:10,8/29/2023 12:10,8/31/2023 12:20,
186-3,Full,C1 Q4,13.46,113.69,100.23,8/11/2023,,,,
186.5-3,fPOM,C1 Q4,13.15,13.4,0.25,8/11/2023,9/10/2023 12:00,9/10/2023 12:00,9/12/2023 12:00,
187-3,>4.75 mm,C1 Q4,13.23,17.79,4.56,8/11/2023,8/29/2023 12:10,8/29/2023 12:10,8/31/2023 12:20,
188-3,>2 mm,C1 Q4,16.2,39.48,23.28,8/11/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
189-3,>250 um,C1 Q4,12.1,66.39,54.29,8/11/2023,8/28/2023 12:00,8/28/2023 12:00,8/31/2023 12:20,
190-3,>53 um,C1 Q4,13.28,22.06,8.78,8/11/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
191-3,Full,C2 Q1,13.36,113.51,100.15,8/14/2023,,,,
191.5-3,fPOM,C2 Q1,12.54,12.58,0.04,8/14/2023,9/14/2023 12:30,9/14/2023 12:30,9/18/2023 11:30,
192-3,>4.75 mm,C2 Q1,13.21,15.74,2.53,8/14/2023,9/8/2023 10:45,9/8/2023 10:45,9/10/2023 11:50,
193-3,>2 mm,C2 Q1,12,32.49,20.49,8/14/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
194-3,>250 um,C2 Q1,14.84,72.7,57.86,8/14/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
195-3,>53 um,C2 Q1,13.45,24.02,10.57,8/14/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
196-3,Full,B3 Q1,11.98,112.07,100.09,8/14/2023,,,,
196.5-3,fPOM,B3 Q1,15.11,15.4,0.29,8/14/2023,9/14/2023 12:30,9/18/2023 11:30,9/20/2023 12:15,
197-3,>4.75 mm,B3 Q1,12,15.01,3.01,8/14/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
198-3,>2 mm,B3 Q1,13.41,34.91,21.5,8/14/2023,9/8/2023 10:45,9/8/2023 10:45,9/10/2023 11:50,
199-3,>250 um,B3 Q1,13.33,24.06,10.73,8/14/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
200-3,>53 um,B3 Q1,13.49,67.65,54.16,8/14/2023,8/27/2023 11:45,8/27/2023 11:45,8/31/2023 12:20,
201-3,Full,A1 Q1,13.54,113.59,100.05,8/14/2023,,,,
201.5-3,fPOM,A1 Q1,13.23,13.33,0.1,8/14/2023,9/10/2023 12:00,9/10/2023 12:00,9/12/2023 12:00,
202-3,>4.75 mm,A1 Q1,13.37,21.85,8.48,8/14/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
203-3,>2 mm,A1 Q1,13.19,35.49,22.3,8/14/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
204-3,>250 um,A1 Q1,11.91,63.86,51.95,8/14/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
205-3,>53 um,A1 Q1,13.76,24.13,10.37,8/14/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
206-3,Full,B2 Q2,13.33,113.62,100.29,8/14/2023,,,,
206.5-3,fPOM,B2 Q2,14.95,15.38,0.43,8/14/2023,9/8/2023 10:45,9/8/2023 10:45,9/10/2023 11:50,
207-3,>4.75 mm,B2 Q2,16.44,23.34,6.9,8/14/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
208-3,>2 mm,B2 Q2,13.23,39.75,26.52,8/14/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
209-3,>250 um,B2 Q2,14.91,65.22,50.31,8/14/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
210-3,>53 um,B2 Q2,14.99,22.97,7.98,8/14/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
211-3,Full,B2 Q1,13.48,113.49,100.01,8/14/2023,,,,
211.5-3,fPOM,B2 Q1,13.35,13.59,0.24,8/14/2023,9/13/2023 10:45,9/13/2023 10:45,9/15/2023 12:00,
212-3,>4.75 mm,B2 Q1,13.37,17.44,4.07,8/14/2023,8/29/2023 12:10,8/29/2023 12:10,8/31/2023 12:20,
213-3,>2 mm,B2 Q1,16.12,44.07,27.95,8/14/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
214-3,>250 um,B2 Q1,13.19,64.65,51.46,8/14/2023,8/29/2023 12:10,8/29/2023 12:10,8/31/2023 12:20,
215-3,>53 um,B2 Q1,12.08,21.07,8.99,8/14/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
216-3,Full,C2 Q4,12.25,112.28,100.03,8/14/2023,,,,
216.5-3,fPOM,C2 Q4,13.35,13.62,0.27,8/14/2023,9/10/2023 12:00,9/10/2023 12:00,9/12/2023 12:00,
217-3,>4.75 mm,C2 Q4,13.1,18.29,5.19,8/14/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
218-3,>2 mm,C2 Q4,15.06,44.85,29.79,8/14/2023,9/10/2023 12:00,9/10/2023 12:00,9/12/2023 12:00,
219-3,>250 um,C2 Q4,13.24,63.52,50.28,8/14/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
220-3,>53 um,C2 Q4,12.36,17.45,5.09,8/14/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
221-3,Full,B3 Q4,11.97,112.01,100.04,9/26/2023,,,,
221.5-3,fPOM,B3 Q4,13.55,,-13.55,9/26/2023,,,,
222-3,>4.75 mm,B3 Q4,12.03,,-12.03,9/26/2023,,,,
223-3,>2 mm,B3 Q4,13.39,,-13.39,9/26/2023,,,,
224-3,>250 um,B3 Q4,13.11,,-13.11,9/26/2023,,,,
225-3,>53 um,B3 Q4,13.34,,-13.34,9/26/2023,,,,
