"plot","trt","trt.full","num","quad","temperature","gravimetric.moisture","volumetric.moisture","bulk.density","bulk.n","bulk.c","bulk.cn","ton","toc","sand","silt","clay","ph","p","k","ca","mg","som","no3","nh4","cec","k.meq","ca.meq","mg.meq","h.meq","pon","poc","fpom","g475mm","g2mm","g250um","g53um","l53um","mwd","tic","maoc"
"B1","B","Bareroot","1","Q3",16.1,0.272349468456276,0.228379582551316,0.838553435943206,0.29,4.05,13.97,0.34,3.62,43,40,17,7.8,103,60,5904,520,5.9,8.1,1,34,0.2,29.5,4.3,0,0.057285,0.753315,0.239232780473023,6.67070704251466,24.3760260843475,52.3402448348147,8.44292354419377,7.9308657136563,1.84956723786816,0.43,2.866685
"B1","B","Bareroot","1","Q4",15.5,0.248769867959928,0.220603819030972,0.886778695667864,0.3,4.02,13.4,0.35,3.28,38,45,17,7.8,97,53,6810,534,6.1,7.7,1,38.6,0.1,34.1,4.5,0,0.05131,0.71029,0.348881138189825,9.13689796821593,20.4611809925569,45.8728856557022,5.95091541426645,18.2292388310688,1.79812770445182,0.74,2.56971
"B1","B","Bareroot","1","Q5",16.2,0.26749101932606,0.229260557755939,0.857077588374956,0.34,4.3,12.65,0.39,3.64,38,43,19,7.7,145,119,8262,811,5.4,8.1,1,48.4,0.3,41.3,6.8,0,0.044055,0.547425,0.0598081951182557,8.00333331007459,29.5553161012632,46.5902849561456,6.45928507277162,9.33197236462665,2.04163093957678,0.66,3.092575
"B2","B","Bareroot","2","Q1",16.3,0.234956684998458,0.237865338908772,1.01237953246716,0.27,3.86,14.3,0.33,3.21,43,38,19,7.8,126,56,6232,553,5.2,6.6,1,35.9,0.1,31.2,4.6,0,0.03,0.4913,0.239232780473023,4.03286659682399,27.8530751878725,51.295495346424,8.96126123521865,7.61806885318782,1.78778716655685,0.65,2.7187
"B2","B","Bareroot","2","Q2",16.2,0.271143867436133,0.229056842225569,0.844779726687062,0.33,4.23,12.82,0.39,3.82,40,43,17,7.7,113,55,6286,511,5.5,7.9,1,35.8,0.1,31.4,4.3,0,0.0427,0.60422,0.4286253983475,6.65854604284061,26.4335276767407,50.1446859920236,7.95448995072802,8.3801249393196,1.89279263900671,0.410000000000001,3.21578
"B2","B","Bareroot","2","Q3",16.9,0.260205334016528,0.245160071092421,0.942179267842558,0.33,4.08,12.36,0.35,3.5,40,41,19,7.7,118,78,5792,520,5,8.9,1.1,33.5,0.2,29,4.3,0,0.04291,0.62971,0.249200812992732,6.73390436868961,27.9619261029877,50.3657769533107,6.04062770694383,8.64856405507538,1.94876795118056,0.58,2.87029
"B2","B","Bareroot","2","Q4",16.7,0.288293120509003,0.245111378725288,0.850215843834656,0.29,4.08,14.07,0.37,3.61,34,45,21,7.6,135,111,6511,614,5.5,7.3,2.4,38,0.3,32.6,5.1,0,0.04845,0.73196,0.249200812992732,8.71026617637238,27.362747668228,49.4598821579196,6.68854982072493,7.52935336376241,2.04532902980143,0.47,2.87804
"B2","B","Bareroot","2","Q5",16.4,0.266687830297489,0.226533635409873,0.849433718655912,0.28,4.18,14.93,0.34,3.46,43,38,19,7.8,123,50,6008,541,5.5,4.6,1,34.7,0.1,30,4.5,0,0.0403,0.59178,0.159488520315349,7.34893197515568,24.4601562788138,51.9670416972768,8.28343502387842,7.78094650455989,1.89120331098168,0.72,2.86822
"B3","B","Bareroot","3","Q1",16.2,0.22917684854978,0.203694193144651,0.88880789850117,0.27,3.97,14.7,0.33,3.11,34,49,17,7.7,102,57,6228,559,5.3,7,1,35.9,0.1,31.1,4.7,0,0.03258,0.58407,0.289072943071569,2.99399824761988,21.4153210653434,53.9868641267455,10.6956988936481,10.6190447235715,1.53719067949087,0.86,2.52593
"B3","B","Bareroot","3","Q2",16.4,0.25788255099383,0.213242296185229,0.826896955080654,0.29,4.13,14.24,0.35,3.43,39,44,17,7.5,129,66,6146,594,5.3,6.7,1.2,35.8,0.2,30.7,5,0,0.045155,0.73648,0.667858178820523,5.01940277529961,22.0764009820506,50.0264651263398,8.65145478450609,13.5584181529834,1.64097014673941,0.7,2.69352
"B3","B","Bareroot","3","Q3",16.7,0.226200823718826,0.189494101932377,0.837725074635109,0.31,4.24,13.68,0.36,3.51,39,40,21,7.6,115,53,5867,543,5.6,6.7,1,34,0.1,29.3,4.5,0,0.03718,0.52238,0.269136878032151,3.29204241995919,19.8425648943837,57.366027150927,8.4728276417529,10.7574010149451,1.53775840878303,0.73,2.98762
"B3","B","Bareroot","3","Q4",17,0.267459307111842,0.170528590832521,0.637587050807739,0.26,3.83,14.73,0.32,3.25,39,42,19,7.9,112,49,6004,525,6.3,6.4,1,34.5,0.1,30,4.4,0,0.0351,0.56547,0.13955245527593,3.27908397768357,21.2542376598249,57.7139114858648,10.1873292351429,7.42588518620784,1.59108743260364,0.58,2.68453
"B3","B","Bareroot","3","Q5",16.9,0.243286318696198,0.17283931415252,0.710435815210602,0.28,4.23,15.11,0.37,3.65,42,43,15,7.9,89,51,6890,533,5.7,8,1,39,0.1,34.5,4.4,0,0.035015,0.616065,0.408689333308081,9.57598980070913,21.4880877027373,44.3175735416519,6.74835801584319,17.4613016057504,1.84448877450018,0.580000000000001,3.033935
"C1","C","Seedling","1","Q1",16.4,0.277067102632937,0.246946807373703,0.89128880703265,0.35,4.8,13.71,0.1,3.25,48,39,13,7.7,94,58,8084,529,5.8,9.2,1,45,0.1,40.4,4.4,0,0.064605,1.161975,0.627986048741685,10.2438479795296,31.9712681430652,44.768726693494,5.75155476387226,6.63661637129725,2.24443738929254,1.55,2.088025
"C1","C","Seedling","1","Q2",14.4,0.279751809334249,0.265640972886529,0.949559445276507,0.26,4.53,17.42,0.36,3.68,41,44,15,7.8,108,55,6739,521,5.2,9.1,1,38.2,0.1,33.7,4.3,0,0.04235,0.770725,0.229264747953314,2.94046991298904,28.8275500469993,50.8760405379946,7.90464978812947,9.22202496593424,1.74471577152073,0.85,2.909275
"C1","C","Seedling","1","Q3",16.1,0.306193286540282,0.24920022706926,0.813865744363652,0.25,4.4,17.6,0.37,3.57,40,45,15,7.8,115,51,6435,456,5.1,10.6,1,36.1,0.1,32.2,3.8,0,0.042225,0.679185,0.159488520315349,12.3988369299656,28.7278697218022,46.9981768468521,5.45251378828098,6.26311419278375,2.29698150531246,0.830000000000001,2.890815
"C1","C","Seedling","1","Q4",16.3,0.305317364596633,0.269287025789044,0.881990535143031,0.24,4.17,17.38,0.34,3.44,40,45,15,7.4,108,50,6461,557,4.6,8.1,1,37.1,0.1,32.3,4.6,0,0.025965,0.35189,0.249200812992732,4.54492442736145,23.2025892961273,54.1164485495017,8.75193255230476,9.134904361712,1.69489554498723,0.73,3.08811
"C1","C","Seedling","1","Q5",16,0.261019622690203,0.242566625340568,0.929304175833798,0.24,4.25,17.71,0.35,3.53,44,41,15,7.8,112,54,6092,558,4.6,6.6,1,35.2,0.1,30.5,4.7,0,0.02416,0.35811,0.199360650394186,4.00565386804518,28.5051838753119,50.6258429217499,8.14388256860249,8.52007611589632,1.79928910484078,0.72,3.17189
"C2","C","Seedling","2","Q1",16.2,0.227362779691065,0.182347725814289,0.802012211770361,0.22,4.27,19.41,0.38,3.75,38,43,19,7.7,95,50,6590,556,6.5,8.4,1,37.7,0.1,33,4.6,0,0.03151,0.45628,0.0398721300788372,2.5133397195195,20.4230034280064,57.6650681265183,10.5362103733327,8.82250622254431,1.51419614795351,0.52,3.29372
"C2","C","Seedling","2","Q2",16.4,0.24006713796078,0.212685427678502,0.885941447401469,0.23,4.37,19,0.37,3.78,42,41,17,7.5,109,46,6331,560,4.7,9.4,1,36.4,0.1,31.7,4.7,0,0.0312,0.43671,0.538273756064302,11.3138165901952,39.186229761156,36.9597700175537,4.40587037371151,7.59603950131927,2.46626336837761,0.59,3.34329
"C2","C","Seedling","2","Q3",16.6,0.234315464228848,0.218128018601252,0.930916016657842,0.18,3.51,19.5,0.33,2.87,30,51,19,7.6,127,47,5793,503,3.9,5.8,1,33.3,0.1,29,4.2,0,0.014715,0.27798,0.229264747953314,4.66095232589087,20.6459883154723,55.3486967295882,11.214036584673,7.90106129642237,1.63359992005638,0.64,2.59202
"C2","C","Seedling","2","Q4",17.2,0.236863090087121,0.212650231615309,0.89777698812041,0.19,3.94,20.74,0.33,3.33,40,43,17,7.8,118,50,6296,520,6.3,6.5,1,35.9,0.1,31.5,4.3,0,0.02649,0.491855,0.269136878032151,5.17340887772912,29.694270474588,50.1187691074723,5.07372855253203,9.67068610964637,1.90350929568873,0.61,2.838145
"C2","C","Seedling","2","Q5",16.2,0.236348560766396,0.202529457017052,0.856910049971618,0.17,3.63,21.35,0.32,3.21,39,44,17,7.7,121,57,6301,558,5.1,6.3,1,36.3,0.1,31.5,4.7,0,0.01803,0.314195,0.129584422756221,4.22903747681186,22.5888575338888,53.2736513999603,9.66899154411801,10.1098776224648,1.6459521813544,0.42,2.895805
"C3","C","Seedling","3","Q1",15.6,0.260470119096319,0.201866731129781,0.775009171225252,0.32,4.45,13.91,0.1,3.17,36,43,21,7.7,125,65,6215,564,5.4,6.2,1,35.9,0.2,31.1,4.7,0,0.030625,0.578865,0.328945073150407,5.87475964581587,27.9752832665641,50.6642198469508,6.81813424348116,8.33865792403761,1.89898368432437,1.28,2.591135
"C3","C","Seedling","3","Q2",16.2,0.206318489363847,0.169299358655062,0.8205728879514,0.27,3.74,13.85,0.34,3.56,38,45,17,7.8,107,48,5473,544,5.4,4.1,1,32,0.1,27.4,4.5,0,0.017265,0.34697,0.229264747953314,6.59664456089321,21.902159773606,52.7294965047094,8.31333912143755,10.2290952914005,1.76553552756311,0.18,3.21303
"C3","C","Seedling","3","Q3",16,0.249261351790643,0.233966534937723,0.938639437108701,0.27,3.76,13.93,0.31,3.32,38,45,17,7.8,121,50,5829,558,5.3,7.5,1,33.9,0.1,29.1,4.7,0,0.01231,0.25035,0.219296715433604,8.68833650482901,24.9303483727685,44.0884084740238,5.48241788584011,16.5911920471049,1.8995811681936,0.44,3.06965
"C3","C","Seedling","3","Q4",16.1,0.266294652127674,0.182137359917886,0.683969274120311,0.3,4.12,13.73,0.37,3.88,47,38,15,7.2,94,73,6476,578,6.5,14.3,1.2,37.5,0.2,32.4,4.8,0.1,0.01896,0.34171,0.4286253983475,7.32381253320601,25.3631603447743,49.7963032554597,7.47472854555441,9.61336992265803,1.89443233599845,0.24,3.53829
"C3","C","Seedling","3","Q5",16.2,0.231078116190703,0.195879126052984,0.847674930374326,0.29,4.05,13.97,0.34,3.65,41,40,19,7.5,111,57,6420,572,5.6,10.7,1,37,0.1,32.1,4.8,0,0.017415,0.345555,0.588113918662848,5.21716854049065,21.9662542227078,52.4812924949686,9.59921531648005,10.14795550669,1.67891292624553,0.4,3.304445
"D1","D","Acorn","1","Q1",16.3,0.393587591694641,0.289835726123825,0.736394470353856,0.28,8.11,15.46,1.08,8.11,38,43,19,7.7,113,100,6436,614,5.3,13,1,37.6,0.3,32.2,5.1,0,0.038715,0.72309,0.219296715433604,5.15496801756766,31.2680234487997,43.2911652330975,6.4393490077322,13.6271975773694,1.88070622513599,0,7.38691
"D1","D","Acorn","1","Q2",17,0.291976464159757,0.235391157014105,0.806199080776967,0.27,3.94,14.59,0.37,3.82,40,43,17,7.7,110,60,6597,525,5,8.4,1,37.5,0.2,33,4.4,0,0.02535,0.36816,0.0398721300788372,11.1921069131296,29.2540821585176,46.2098051548683,5.13353674765029,8.17059689575532,2.22845970472694,0.12,3.45184
"D1","D","Acorn","1","Q3",16.4,0.310619894601306,0.23523299293086,0.757301760187615,0.29,4.14,14.28,0.4,4.08,44,39,17,7.6,123,100,6824,528,6.6,9.8,1.1,38.8,0.3,34.1,4.4,0,0.04344,0.578445,0.309009008110988,10.5975137733289,28.2027537686639,46.126671763654,5.7914268939511,8.97262479229112,2.15513351182757,0.0599999999999996,3.501555
"D1","D","Acorn","1","Q4",16.8,0.405463193262643,0.291689887788799,0.71939917762117,0.29,4.07,14,0.41,4.07,42,39,19,7.6,129,85,6794,543,5.3,15.4,1,38.7,0.2,34,4.5,0,0.0379,0.53553,0.0797442601576743,7.20628942979864,29.9680923279044,41.4739929047545,3.93737284528517,17.3345082320997,1.94337160725553,0,3.53447
"D1","D","Acorn","1","Q5",17.1,0.305358264482775,0.228871940109972,0.749519389945585,0.29,4.08,14.07,0.41,4.05,39,44,17,7.4,91,65,6607,533,5,8.6,1,37.6,0.2,33,4.4,0,0.034885,0.451965,0.149520487795639,14.2751196911505,29.2681370843704,45.5609859181605,4.62516708914511,6.12106972937789,2.41740672662771,0.0300000000000002,3.598035
"D2","D","Acorn","2","Q1",17.3,0.229977929279102,0.191747251642338,0.833763710471685,0.23,3.95,17.17,0.35,3.44,45,42,13,7.4,87,55,7561,468,5.2,9.5,1,41.8,0.1,37.8,3.9,0,0.0462,0.898075,0.348881138189825,3.85643242122513,17.4940964327402,46.5507118670424,17.6832896899643,14.0665884508382,1.38675901384261,0.51,2.541925
"D2","D","Acorn","2","Q2",17.2,0.277069200010603,0.213575602733417,0.770838486288782,0.22,3.72,16.91,0.29,3.03,34,53,13,7.7,85,73,8608,463,4.5,16.2,1,47.1,0.2,43,3.9,0,0.033465,0.623075,0.0797442601576743,6.54760184089625,16.1612708045299,43.3504750265897,13.4568439016075,20.4040641662189,1.47093246957009,0.69,2.406925
"D2","D","Acorn","2","Q3",18.1,0.256494291905053,0.209423099789204,0.816482496486614,0.26,4.21,16.19,0.09,3.28,38,47,15,7.6,86,69,8263,518,5.8,8.3,1,45.8,0.2,41.3,4.3,0,0.04726,0.76372,0.27910491055186,6.98489942753589,28.5571173247396,46.0423422085372,9.89825629207133,8.23827983656414,1.94206225634391,0.93,2.51628
"D2","D","Acorn","2","Q4",16.9,0.329506453316987,0.224187493124335,0.6803736038173,0.26,4.02,15.27,0.35,4.02,36,47,17,7.7,117,100,7207,586,5.6,7.7,1.5,41.2,0.3,36,4.9,0,0.03192,0.50218,0.0598081951182557,13.8005416628871,28.0380818714383,38.0946305199226,6.05059573946354,13.9563420111702,2.26380104006451,0,3.51782
"D2","D","Acorn","2","Q5",16.8,0.307938593475758,0.212128655392096,0.688866741247862,0.28,4.14,14.54,0.37,4.14,35,48,17,7.6,113,98,7205,609,6.8,17,1.6,41.4,0.3,36,5.1,0,0.055575,0.657255,0.0498401625985465,7.89468175560976,19.4309848316449,46.9052747837685,6.25992442237744,19.4592940440009,1.69624982680543,0,3.482745
"D3","D","Acorn","3","Q1",16.5,0.306828927148347,0.252694397827803,0.823567713045612,0.31,4.38,13.65,0.47,4.38,45,38,17,7.7,117,90,7090,614,5.7,9.3,1,40.8,0.2,35.5,5.1,0,0.048055,0.60945,0.13955245527593,7.8075611513875,24.1589223360682,49.4912814603566,6.02069164190441,12.3819909550073,1.87899391650975,0,3.77055
"D3","D","Acorn","3","Q2",16.8,0.350220964760589,0.262138593955172,0.748494865618253,0.35,5.31,14.11,0.46,5.31,35,42,23,7.5,124,100,6705,518,5.5,15.1,1,38.1,0.3,33.5,4.3,0,0.049575,0.835565,0.877186861734418,11.89026791081,28.8038261296024,38.1563326412196,3.89750071520633,16.3748857414272,2.16529716698548,0,4.474435
"D3","D","Acorn","3","Q3",20.5,0.297478590068732,0.254346617368536,0.855008144652593,0.31,4.27,13.52,0.42,4.27,45,38,17,7.7,126,85,6671,528,5.5,9.4,1,38,0.2,33.4,4.4,0,0.054795,0.803205,0.0498401625985465,7.0050348532257,27.663184168372,47.6443047147797,5.63193837363575,12.0056977273883,1.92473425225302,0,3.466795
"D3","D","Acorn","3","Q4",18.8,0.2475379551767,0.171608855309106,0.693262797564141,0.3,4.13,13.33,0.41,4.13,39,40,21,7.8,118,109,6526,560,5.8,9.4,1.3,37.6,0.3,32.6,4.7,0,0.04051,0.46583,0.13955245527593,7.96724903235324,26.7775244789959,45.6606662433576,6.82810227600087,12.6269055140165,1.93568064716454,0,3.66417
"D3","D","Acorn","3","Q5",18.4,0.270009449996828,0.25415085687227,0.941266525579959,0.3,4.08,13.4,0.41,4.08,47,36,17,7.8,127,83,7184,644,5.2,7.6,1,41.5,0.2,35.9,5.4,0,0.045745,0.568555,0.0697762276379651,14.4491615389446,26.4345244799927,46.2117987613723,3.8576285851275,8.97711040692499,2.33902629267938,0,3.511445
"E1","E","Seedbank","1","Q1",15.2,0.325326244068677,0.271530452857693,0.83464048108081,0.32,4.57,14.16,0.45,4.57,44,39,17,7.5,106,86,7171,584,6.1,15,1,40.9,0.2,35.9,4.9,0,0.0569835,0.7780035,0.388753268268662,7.56713220701211,25.496532619888,51.3386569272344,6.05059573946354,9.15832923813331,1.92963919709492,0,3.7919965
"E1","E","Seedbank","1","Q2",17.7,0.316486005643138,0.237767966951066,0.751274820091626,0.3,4.42,14.37,0.48,4.42,48,37,15,7.5,57,21,3610,128,5.2,8.7,1.1,19.2,0.1,18.1,1.1,0,0.067269,1.004581,0.0996803251970929,13.7813033601241,29.5201289464687,40.2556002898704,4.1865736582779,12.1567134200619,2.33408060350456,0,3.415419
"E1","E","Seedbank","1","Q3",16.8,0.291703512134537,0.265190590141757,0.909110035053153,0.29,4.51,15.03,0.45,4.51,49,36,15,7.6,121,99,7470,692,6.6,8,1,43.4,0.3,37.4,5.8,0,0.029732,0.431824,0.119616390236511,20.051096134696,31.8924210058343,31.6256764556069,5.02388838993348,11.2873016236928,2.71802663857011,0,4.078176
"E1","E","Seedbank","1","Q4",16.2,0.29820000758947,0.26913741645923,0.90253993832807,0.27,4.4,15.96,0.45,4.4,43,38,19,7.5,105,122,6472,578,6.5,11.9,1,37.5,0.3,32.4,4.8,0,0.05649,0.747775,0.338913105670116,12.7220005442546,32.3258310597912,38.0064134321232,4.70491134930279,11.9019305088581,2.33672442476976,0,3.652225
"E1","E","Seedbank","1","Q5",16.6,0.297454638976012,0.247964292682619,0.833620526263221,0.31,5.45,17.32,0.51,5.45,45,38,17,7.4,96,71,7406,562,7,11,1,41.9,0.2,37,4.7,0,0.06222,0.96018,0.737634406458488,4.84356668165194,34.8682774342683,46.6012497919173,5.02388838993348,7.92538329577047,2.01745699043169,0,4.48982
"E2","E","Seedbank","2","Q1",16,0.291443921775098,0.286862828843678,0.984281391413077,0.25,5.55,16.72,0.56,5.55,31,48,21,7.7,125,71,6431,562,5.2,7.2,1,37,0.2,32.2,4.7,0,0.060762,0.879218,0.179424585354767,8.43564688045438,24.8772187594385,48.6240626311419,6.23958963603723,11.6440575075732,1.93385230465896,0,4.670782
"E2","E","Seedbank","2","Q2",16.4,0.288530014119209,0.223658250500147,0.775164591395821,0.25,4.46,17.08,0.43,4.46,43,42,15,7.7,121,76,6672,574,5.7,8.1,1,38.3,0.2,33.4,4.8,0,0.0489085,0.6311205,0.4286253983475,6.37555359960606,29.9020042722987,37.4384349391501,6.67858178820523,19.1768000023923,1.84693463063954,0,3.8288795
"E2","E","Seedbank","2","Q3",17.5,0.253641312343681,0.243535315267489,0.960156344473968,0.23,4.25,17.83,0.41,4.25,38,45,17,7.5,102,59,7012,550,6.3,7.8,1,39.8,0.2,35.1,4.6,0,0.056027,0.659185,0.129584422756221,17.4439572291661,26.7291795212753,34.6130958017637,4.56535889402686,16.5188241310118,2.41047592869667,0,3.590815
"E2","E","Seedbank","2","Q4",17.4,0.289608436507408,0.25699991756179,0.887404803054542,0.22,4.27,18.18,0.42,4.27,38,43,19,7.8,105,65,6950,523,5.9,7.8,1,39.3,0.2,34.8,4.4,0,0.055485,0.7423925,0.0897122926773836,8.62543821962965,22.7116636945316,45.5343712713328,5.28305723544592,17.7557572863826,1.83665584470603,0,3.5276075
"E2","E","Seedbank","2","Q5",18.5,0.276334121889133,0.247119534446677,0.894278031092457,0.21,4.14,18.52,0.41,4.14,47,38,15,7.5,93,63,7717,561,5.8,14.5,1,43.4,0.2,38.6,4.7,0,0.0328625,0.379606,0.149520487795639,11.3121220246669,23.139691010928,47.9886005580105,7.15704734915127,10.2530185694478,2.05282703370291,0,3.760394
"E3","E","Seedbank","3","Q1",16.3,0.25256362846584,0.218320024190464,0.864415931607478,0.2,3.92,19.5,0.38,3.92,36,49,15,7.6,102,75,6636,552,5.9,10.1,1,38,0.2,33.2,4.6,0,0.060721,0.866152,0.159488520315349,9.24265879325005,24.5550519484015,47.6242689694151,8.02426617836598,10.3942655902521,1.96588229049438,0,3.053848
"E3","E","Seedbank","3","Q2",16.6,0.280364566121093,0.252999854781945,0.902395970654404,0.19,4.15,20.79,0.4,4.15,36,47,17,7.8,121,114,6800,497,5.6,7.9,1,38.4,0.3,34,4.1,0,0.033361,0.416935,NA,10.034618976941,18.0160226154722,41.6109536715753,9.32011040592819,21.0182943300834,1.72999091912237,0,3.733065
"E3","E","Seedbank","3","Q3",18.6,0.264529262519071,0.245010749865938,0.926214164485013,0.19,4.01,20.58,0.4,4.01,37,44,19,7.6,113,75,6669,489,5.9,7.9,1,37.6,0.2,33.3,4.1,0,0.042341,0.49387,0.199360650394186,11.5022124048177,21.31245096974,40.4577519893701,7.33647193450604,19.1917520511719,1.91882572589705,0,3.51613
