"redo","year","plot","trt","trt.full","num","spp","genus","species","abC_ha1","abC_ha2","abC_ha3","bgC_ha1","bgC_ha2","bgC_ha3","bmC_ha1","bmC_ha2","bmC_ha3"
"N",2022,"C1","C","Seedling",1,"Quebic","Quercus","bicolor",1.75795289397961,1.69070202601455,2.42895534226609,0.341145329147924,0.360802379340417,0.485791068453218,2.09909822312754,2.05150440535496,2.91474641071931
"N",2022,"C3","C","Seedling",3,"Acesai","Acer","saccharinum",170.089273410355,161.104072152982,187.416362833507,31.8739534100268,32.9341055385295,37.4832725667013,201.963226820382,194.038177691511,224.899635400208
"N",2022,"C3","C","Seedling",3,"Carill","Carya","illinoiensis",24.4671088585582,27.1399833147367,26.6154820227514,4.65834684802509,5.68847834116897,5.32309640455029,29.1254557065833,32.8284616559057,31.9385784273017
"N",2022,"D1","D","Acorn",1,"Quebic","Quercus","bicolor",3.05625115818651,2.94953617290676,3.74222795665141,0.581001549085775,0.618391080994144,0.748445591330283,3.63725270727229,3.5679272539009,4.4906735479817
"N",2022,"D1","D","Acorn",1,"Quepal","Quercus","palustris",7.87296107623084,7.59240273443781,9.90912808718372,1.50357845152884,1.5979160799855,1.98182561743674,9.37653952775967,9.19031881442332,11.8909537046205
"N",2022,"D1","D","Acorn",1,"Salint","Salix","interior",0.490118215223937,0.451676368865559,0.41491469386564,0.0988720134729966,0.0982799956363778,0.082982938773128,0.588990228696933,0.549956364501937,0.497897632638768
"N",2022,"D2","D","Acorn",2,"Acesai","Acer","saccharinum",29.5687521917888,28.1558328784973,34.0989580387087,5.51283389069785,5.70296382957909,6.81979160774174,35.0815860824867,33.8587967080764,40.9187496464504
"N",2022,"D2","D","Acorn",2,"Moralb","Morus","alba",0.574162909972143,0.623192578269481,0.666959968289393,0.112087291942068,0.133503660204808,0.133391993657879,0.686250201914212,0.756696238474288,0.800351961947271
"N",2022,"D2","D","Acorn",2,"Quepal","Quercus","palustris",23.0141412307394,22.190969711327,29.0776126973556,4.39555856019224,4.67357269769874,5.81552253947111,27.4096997909316,26.8645424090257,34.8931352368267
"N",2022,"D2","D","Acorn",2,"Salnig","Salix","nigra",10.4425232212366,10.8546887584952,12.5681977608946,1.95553092115506,2.22366182429397,2.51363955217893,12.3980541423917,13.0783505827891,15.0818373130735
"N",2022,"D3","D","Acorn",3,"Quepal","Quercus","palustris",9.53155265339016,9.2003632344062,11.6020892106625,1.8107714352727,1.92718955611635,2.3204178421325,11.3423240886629,11.1275527905226,13.922507052795
"N",2022,"D3","D","Acorn",3,"Salnig","Salix","nigra",15.5594474256778,15.4900319491933,16.5632972457172,2.96728622523658,3.24212167463704,3.31265944914344,18.5267336509144,18.7321536238304,19.8759566948606
"N",2022,"E1","E","Seedbank",1,"Salnig","Salix","nigra",15.5536536746513,15.7472825242724,17.3385385591139,2.93510517570849,3.26873326642401,3.46770771182278,18.4887588503598,19.0160157906964,20.8062462709367
"N",2022,"E2","E","Seedbank",2,"Fraxpen","Fraxinus","pennsylvanica",12.5552166017079,12.1125679815016,16.4926964853899,2.36465671034031,2.50336862271302,3.29853929707798,14.9198733120482,14.6159366042146,19.7912357824679
"N",2022,"E3","E","Seedbank",3,"Acesai","Acer","saccharinum",21.0211078773236,19.7597280023584,21.5773788976065,3.9632652496091,4.09279132208335,4.31547577952129,24.9843731269327,23.8525193244418,25.8928546771277
