tid,spid,treatment,species,posterior.mean,5,95,25,75,type
1,10,Balled-and-burlapped,Salix nigra,4.677727972,0.433809907,11.48995479,1.320223654,5.292772217,live.trees
1,11,Balled-and-burlapped,Celtis occidentalis,4.600517144,0.49516272,12.30520271,0.993711016,4.945584495,live.trees
1,12,Balled-and-burlapped,Ulmus americana,4.699260556,0.360966962,11.5453546,1.221782866,5.200793225,live.trees
1,13,Balled-and-burlapped,Gleditsia triacanthos,4.730053673,0.301393414,11.7769609,1.288683503,5.354557981,live.trees
1,14,Balled-and-burlapped,Platanus occidentalis,5.232455459,0.741953399,12.98599095,1.359995182,5.73551277,live.trees
2,1,Bareroot,Acer saccharinum,51.91855068,33.3147805,71.20700207,45.47765731,61.08651617,live.trees
2,2,Bareroot,Betula nigra,4.836847485,0.397004032,11.73739803,0.927726005,5.087284327,live.trees
2,3,Bareroot,Quercus bicolor,5.598371213,0.506182075,14.34641603,1.193536988,5.983401131,live.trees
2,4,Bareroot,Quercus palustris,4.700586868,0.386045963,12.28250826,0.991021705,5.096887999,live.trees
2,5,Bareroot,Fraxinus pennsylvanica,4.754444647,0.403637193,12.11837817,0.763426182,4.937431009,live.trees
2,6,Bareroot,Populus deltoides,4.967867703,0.313342373,12.61112243,1.25111,5.567132764,live.trees
2,7,Bareroot,Carya illinoiensis,4.9369209,0.452200848,12.15759597,1.211332699,5.453459387,live.trees
2,8,Bareroot,Morus alba,4.700101755,0.352103947,11.87790744,1.390955829,5.36530464,live.trees
2,9,Bareroot,Salix interior,4.821481475,0.405579308,11.90654391,1.065816484,5.197018819,live.trees
2,10,Bareroot,Salix nigra,4.851743662,0.505610412,12.00034209,1.0771096,5.22847766,live.trees
2,11,Bareroot,Celtis occidentalis,4.863791763,0.362073213,11.83154367,0.911148996,5.107020477,live.trees
2,12,Bareroot,Ulmus americana,4.947276606,0.507378075,12.28475616,1.393043828,5.574547551,live.trees
2,13,Bareroot,Gleditsia triacanthos,4.799835903,0.336640783,12.17170697,1.26504938,5.396125291,live.trees
2,14,Bareroot,Platanus occidentalis,4.896317166,0.355344036,12.1941723,0.853074119,5.173358844,live.trees
3,1,Seedling,Acer saccharinum,149.5261297,131.3612494,168.8129264,140.2983403,155.5163945,live.trees
3,2,Seedling,Betula nigra,4.826670112,0.38126186,12.06755151,1.242134359,5.420793231,live.trees
3,3,Seedling,Quercus bicolor,4.881205456,0.357782921,11.91544142,1.21987837,5.295477515,live.trees
3,4,Seedling,Quercus palustris,4.693767938,0.573069176,12.46349731,0.983390639,5.016799383,live.trees
3,5,Seedling,Fraxinus pennsylvanica,4.816074853,0.404789199,12.46585314,0.92687289,5.122897297,live.trees
3,6,Seedling,Populus deltoides,9.642541048,0.778902935,22.30723705,1.470145179,10.09742214,live.trees
3,7,Seedling,Carya illinoiensis,8.467211257,0.723099213,20.78665423,1.634114647,9.210306762,live.trees
3,8,Seedling,Morus alba,4.881559176,0.434565393,11.82263787,1.105006434,5.339751719,live.trees
3,9,Seedling,Salix interior,4.918867016,0.376548342,12.34606214,1.246514376,5.524192911,live.trees
3,10,Seedling,Salix nigra,4.623954193,0.507616599,11.76967322,0.827944759,4.83236578,live.trees
3,11,Seedling,Celtis occidentalis,4.76469611,0.266508579,11.91635894,1.046405709,5.257208367,live.trees
3,12,Seedling,Ulmus americana,4.753371523,0.335203039,12.50058143,0.984285932,5.097127558,live.trees
3,13,Seedling,Gleditsia triacanthos,4.796181869,0.530784678,11.77425252,1.33483963,5.340146875,live.trees
3,14,Seedling,Platanus occidentalis,4.833112713,0.381036982,12.08439749,0.918054205,5.136537207,live.trees
4,1,Acorn,Acer saccharinum,7.518819223,0.527372134,18.7099629,1.758974831,8.326965942,live.trees
4,2,Acorn,Betula nigra,4.924842956,0.340592394,12.25320037,0.940118975,5.178503719,live.trees
4,3,Acorn,Quercus bicolor,4.880156157,0.41569692,12.55885704,0.967646114,5.235703175,live.trees
4,4,Acorn,Quercus palustris,10.36298339,1.047787876,24.51269526,1.807764786,11.13089035,live.trees
4,5,Acorn,Fraxinus pennsylvanica,4.774227657,0.514829839,12.15712183,1.425041815,5.52991894,live.trees
4,6,Acorn,Populus deltoides,4.73329539,0.429910237,11.51947587,1.455327785,5.479830431,live.trees
4,7,Acorn,Carya illinoiensis,4.843565764,0.506101092,12.27074725,1.308028651,5.444795276,live.trees
4,8,Acorn,Morus alba,4.884703848,0.631006672,12.20971758,1.222296122,5.32437406,live.trees
4,9,Acorn,Salix interior,4.933105393,0.33076774,12.16449128,1.284540616,5.537405984,live.trees
4,10,Acorn,Salix nigra,6.824560152,0.590498111,17.38399851,1.527895284,7.496758726,live.trees
4,11,Acorn,Celtis occidentalis,4.625365681,0.438336305,11.64284883,0.872616733,4.848343776,live.trees
4,12,Acorn,Ulmus americana,4.686378733,0.397202583,11.8412732,0.989981678,4.984490329,live.trees
4,13,Acorn,Gleditsia triacanthos,4.695676451,0.302628638,12.07836888,0.979935189,5.124044954,live.trees
4,14,Acorn,Platanus occidentalis,4.858322232,0.452784564,12.02300812,1.407339661,5.550489695,live.trees
5,1,Seedbank,Acer saccharinum,5.954109542,0.551524596,14.99881439,1.069906388,6.304621004,live.trees
5,2,Seedbank,Betula nigra,4.663187603,0.386084569,11.48430312,1.34359809,5.224871254,live.trees
5,3,Seedbank,Quercus bicolor,4.639219865,0.370156702,12.03177609,1.047777398,5.1083638,live.trees
5,4,Seedbank,Quercus palustris,4.717552339,0.47611834,11.60038349,1.256890932,5.262268235,live.trees
5,5,Seedbank,Fraxinus pennsylvanica,5.72675064,0.530195834,14.557483,1.692879893,6.680220241,live.trees
5,6,Seedbank,Populus deltoides,4.672455241,0.556404994,12.21911046,1.131881347,5.126407683,live.trees
5,7,Seedbank,Carya illinoiensis,4.852854101,0.504519472,11.91019978,1.482101714,5.650856673,live.trees
5,8,Seedbank,Morus alba,4.901788645,0.309898999,11.8016595,1.207172873,5.472913774,live.trees
5,9,Seedbank,Salix interior,4.669652786,0.504711226,11.78521945,1.027759466,5.014035888,live.trees
5,10,Seedbank,Salix nigra,5.94085568,0.510390662,15.33189283,0.996666725,6.189078195,live.trees
5,11,Seedbank,Celtis occidentalis,4.872542966,0.409700513,11.89777202,0.894483482,5.160276469,live.trees
5,12,Seedbank,Ulmus americana,4.718954825,0.40302816,12.03388183,0.993939596,5.007511861,live.trees
5,13,Seedbank,Gleditsia triacanthos,4.862132685,0.602933215,12.41325877,1.261625738,5.298857108,live.trees
5,14,Seedbank,Platanus occidentalis,4.905336321,0.367809976,12.17391024,1.060734038,5.335449613,live.trees
6,1,Reference,Acer saccharinum,81.82322744,63.93782695,102.094735,73.45119391,89.38484575,live.trees
6,2,Reference,Betula nigra,4.808125014,0.470556688,12.35995928,1.34781014,5.502272327,live.trees
6,3,Reference,Quercus bicolor,4.871489088,0.397615889,12.31507544,0.925807599,5.177747713,live.trees
6,4,Reference,Quercus palustris,4.714871502,0.313812739,12.1089053,1.167227358,5.305691738,live.trees
6,5,Reference,Fraxinus pennsylvanica,4.897144332,0.376258511,12.18177713,0.890485159,5.192338414,live.trees
6,6,Reference,Populus deltoides,4.900046667,0.283436025,11.73811404,1.367906074,5.653993769,live.trees
6,7,Reference,Carya illinoiensis,4.755585113,0.655079391,12.41472362,1.329005818,5.40582544,live.trees
6,8,Reference,Morus alba,4.594967988,0.503712887,11.76091984,1.046175525,5.034016414,live.trees
6,9,Reference,Salix interior,4.653330302,0.170636649,11.60169441,1.134158717,5.175718433,live.trees
6,10,Reference,Salix nigra,4.857991876,0.312297555,12.1379773,1.038960981,5.32662142,live.trees
6,11,Reference,Celtis occidentalis,5.59758726,0.342053253,14.0331608,1.438040118,6.423267581,live.trees
6,12,Reference,Ulmus americana,5.333977632,0.372287512,13.39445958,1.279067321,5.960886176,live.trees
6,13,Reference,Gleditsia triacanthos,5.051211919,0.388940524,13.05169692,1.083396656,5.476428513,live.trees
6,14,Reference,Platanus occidentalis,4.982661459,0.412706397,11.9708695,1.138522259,5.471441758,live.trees
1,1,Balled-and-burlapped,Acer saccharinum,0.978901597,0.083423757,2.267896713,0.258388205,1.094334968,coarse.woody.debris
1,2,Balled-and-burlapped,Populus deltoides ,0.908880903,0.122016115,2.037985549,0.290404019,1.039610209,coarse.woody.debris
1,3,Balled-and-burlapped,Salix nigra,0.869834208,0.102175623,2.042194253,0.195637435,0.931184212,coarse.woody.debris
1,4,Balled-and-burlapped,Unknown,1.015972081,0.092191056,2.367308945,0.3976265,1.255117061,coarse.woody.debris
2,1,Bareroot,Acer saccharinum,0.866747878,0.097889875,1.989988468,0.236548467,0.959188988,coarse.woody.debris
2,2,Bareroot,Populus deltoides ,0.879802693,0.094274725,2.08805674,0.180552776,0.923007281,coarse.woody.debris
2,3,Bareroot,Salix nigra,0.876694627,0.128952371,2.100551321,0.20846124,0.944416355,coarse.woody.debris
2,4,Bareroot,Unknown,11.28171015,8.108134718,13.80647719,9.992030686,12.23973766,coarse.woody.debris
3,1,Seedling,Acer saccharinum,0.871753323,0.100367969,2.001041598,0.246133266,0.966903911,coarse.woody.debris
3,2,Seedling,Populus deltoides ,0.906107681,0.094917977,2.164059474,0.24443346,1.008763016,coarse.woody.debris
3,3,Seedling,Salix nigra,0.864203375,0.09570429,2.100343376,0.241549186,0.990077401,coarse.woody.debris
3,4,Seedling,Unknown,4.494942359,1.579161396,7.372875876,3.296913883,5.724572327,coarse.woody.debris
4,1,Acorn,Acer saccharinum,0.878272354,0.127881381,2.040087795,0.26875579,0.988375932,coarse.woody.debris
4,2,Acorn,Populus deltoides ,0.891348239,0.066619886,2.089696508,0.262020599,1.027544365,coarse.woody.debris
4,3,Acorn,Salix nigra,0.961493813,0.120073388,2.180802316,0.32944622,1.138309018,coarse.woody.debris
4,4,Acorn,Unknown,1.434721854,0.091922251,3.175480133,0.441992592,1.671784876,coarse.woody.debris
5,1,Seedbank,Acer saccharinum,0.883571863,0.113607909,2.041179534,0.232684422,0.976601925,coarse.woody.debris
5,2,Seedbank,Populus deltoides ,0.873988446,0.13148899,2.031638974,0.294845981,1.000685078,coarse.woody.debris
5,3,Seedbank,Salix nigra,0.895441727,0.088105338,2.021591038,0.258833015,0.9988545,coarse.woody.debris
5,4,Seedbank,Unknown,0.946976833,0.066946455,2.253185165,0.263191821,1.071362115,coarse.woody.debris
6,1,Reference,Acer saccharinum,1.030070158,0.138523934,2.273330289,0.338036245,1.172647302,coarse.woody.debris
6,2,Reference,Populus deltoides ,0.883093582,0.087122321,2.010016325,0.271345556,1.00151499,coarse.woody.debris
6,3,Reference,Salix nigra,6.632739022,3.606698619,9.387864493,5.267826475,7.636717344,coarse.woody.debris
6,4,Reference,Unknown,3.296126015,0.50707206,5.602471524,2.15801074,4.398870678,coarse.woody.debris
1,1,Balled-and-burlapped,Phalaris arundinacea,0.098223745,0.010232412,0.212224246,0.023340507,0.104686625,herbaceous.biomass
1,2,Balled-and-burlapped,Humulus japonicus,0.154852472,0.022606339,0.315194014,0.061870307,0.184952192,herbaceous.biomass
1,3,Balled-and-burlapped,Mixed community,0.155411426,0.02260114,0.306350652,0.071463753,0.191929759,herbaceous.biomass
2,1,Bareroot,Phalaris arundinacea,0.116989814,0.02002718,0.244687863,0.053722417,0.14745431,herbaceous.biomass
2,2,Bareroot,Humulus japonicus,0.154747371,0.024565435,0.316939964,0.061009547,0.184764006,herbaceous.biomass
2,3,Bareroot,Mixed community,0.225867755,0.038099089,0.409323324,0.135484788,0.302699441,herbaceous.biomass
3,1,Seedling,Phalaris arundinacea,0.098288315,0.019207107,0.21889719,0.029756285,0.108552548,herbaceous.biomass
3,2,Seedling,Humulus japonicus,0.10053982,0.014097682,0.213288553,0.02859124,0.109321859,herbaceous.biomass
3,3,Seedling,Mixed community,0.14377037,0.022206396,0.299245518,0.05946693,0.173697342,herbaceous.biomass
4,1,Acorn,Phalaris arundinacea,0.105544574,0.014692841,0.220754399,0.041678707,0.123177003,herbaceous.biomass
4,2,Acorn,Humulus japonicus,0.154631667,0.021621331,0.30201883,0.053627413,0.173049965,herbaceous.biomass
4,3,Acorn,Mixed community,0.187541573,0.034656676,0.362329627,0.080154287,0.223790236,herbaceous.biomass
5,1,Seedbank,Phalaris arundinacea,0.8443021,0.591422332,1.075789799,0.767547501,0.972840719,herbaceous.biomass
5,2,Seedbank,Humulus japonicus,0.553939718,0.301832241,0.795435981,0.449233307,0.65077917,herbaceous.biomass
5,3,Seedbank,Mixed community,0.135063635,0.013568357,0.267309287,0.056018969,0.159450634,herbaceous.biomass
6,1,Reference,Phalaris arundinacea,0.097895697,0.014564548,0.216200878,0.034956008,0.113360088,herbaceous.biomass
6,2,Reference,Humulus japonicus,0.09922638,0.015873648,0.213809264,0.032236533,0.10985226,herbaceous.biomass
6,3,Reference,Mixed community,0.556527379,0.290326853,0.796391077,0.460960966,0.660132365,herbaceous.biomass
