"model","model.label","variable","variable.label","treatment","full.treatment.name","posterior.mean","posterior.se","5","95","25","75"
"simple","Fixed effects only","dead.stem.carbonmin","Dead stems (< 2.5 cm)","D","Acorn",1940638158.87018,29488891218.5579,-49602547344.2463,50052476565.0899,-430424890.599343,117172775.248497
"simple","Fixed effects only","dead.stem.carbonmin","Dead stems (< 2.5 cm)","E","Seedbank",-4352144658.14168,47299823916.1693,-16441380159.1623,32881148601.42,-320939549.921763,182307098.566614
"simple","Fixed effects only","dead.stem.carbonmin","Dead stems (< 2.5 cm)","R","Reference",-11405618376.2948,54757428168.4794,-72223150039.3798,34570734814.3811,-357761577.649971,238331183.235351
"plot.random","Plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","A","Balled-and-burlapped",-12038465.78955,37037127.7188058,-35120996.8290192,-1.61087374682269,-29.6403546592693,-5.43505377828686
"plot.random","Plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","B","Bareroot",656659.268608276,18468544.9649556,-6050492.63098661,21786128.2431637,-66.4830004514693,-0.476118211077268
"plot.random","Plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","C","Seedling",2905126.82753486,20173419.5323918,-10276567.7855664,20285457.3360585,-3.98856431068522,8.10068564812885
"plot.random","Plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","D","Acorn",-975111.776338622,20940476.8962987,-10609093.1344576,26893982.1283324,-1.00481517907364,22.7415561894776
"plot.random","Plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","E","Seedbank",3310558.72426108,24823153.7534707,-9293958.88654643,25336152.0852973,3.55163549272028,30.4891758934182
"plot.random","Plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","R","Reference",2847852.73333081,25519558.5978875,-7448799.73639813,34138334.0968804,-3.41446341571509,9.80868131815298
"strip.plot.random","Strip and plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","A","Balled-and-burlapped",-5.64883173247721,1.5074627773062,-7.5377753730722,-3.20126350544104,-6.95978679999764,-5.13597562749429
"strip.plot.random","Strip and plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","B","Bareroot",-4.0247522243552,3.16806272678261,-9.10080482631539,-0.257686154818406,-3.56675867087809,-0.359419049653871
"strip.plot.random","Strip and plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","C","Seedling",-5.35524915883876,2.04871653945419,-7.97373054832808,-2.98633705954796,-5.03792117103415,-2.98915924743404
"strip.plot.random","Strip and plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","D","Acorn",-1.2610566301835,4.14996307770372,-6.56731976758643,6.04742226152874,-3.43572455564621,-1.05372673379505
"strip.plot.random","Strip and plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","E","Seedbank",4.66048079027349,2.16506257724132,2.60655564373305,7.45002925884827,2.58955019378129,3.28958179460558
"strip.plot.random","Strip and plot random effects","dead.stem.carbonmin","Dead stems (< 2.5 cm)","R","Reference",-2.85982275083982,5.20975441014576,-12.526303775971,2.95397464451295,-2.64316301493829,0.134529312198531
"simple","Fixed effects only","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","A","Balled-and-burlapped",-252364645.650855,454047952.171551,-929412869.800782,-1539.21272444128,-11857907.3291787,-1539.21272444128
"simple","Fixed effects only","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","B","Bareroot",-144368601.506772,474141130.250444,-1073664243.7326,425802465.902602,-9782952.52910714,11093094.6419873
"simple","Fixed effects only","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","C","Seedling",-116321158.505975,654272951.285975,-544865574.243849,767338001.925438,-4741927.04030126,10182719.5439953
"simple","Fixed effects only","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","D","Acorn",-513245229.9405,1149156205.1512,-2351947091.15614,530177883.425267,-10778978.0859942,10437112.1879221
"simple","Fixed effects only","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","E","Seedbank",-4549414.17789016,426457813.659677,-581133152.651373,819866648.524835,-4846793.60578449,13538667.534468
"simple","Fixed effects only","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","R","Reference",-88842868.8610815,413763750.434945,-757085346.999148,469333051.835524,-8510110.86667832,11374478.6994419
"plot.random","Plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","A","Balled-and-burlapped",-68458993487.762,185289551361.274,-362470614985.885,-55.6202021209465,-14972315.2461455,-55.6202021209465
"plot.random","Plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","B","Bareroot",-8032542348.30501,43300297166.1171,-55869982935.8872,61649247880.4112,-22544932.2866262,8836615.27894829
"plot.random","Plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","C","Seedling",33498912662.9189,95569718722.6606,-66627217498.0747,208107232688.856,-16765359.2545859,6363083.23620932
"plot.random","Plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","D","Acorn",11456295759.5859,47281139115.1368,-18301197755.3411,67903068623.1282,-27370456.9153667,10014064.8955555
"plot.random","Plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","E","Seedbank",-17961764705.6877,52936392796.3841,-91413939212.3361,13170096644.8592,-20904302.433084,6905452.2610745
"plot.random","Plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","R","Reference",49104988052.5273,136827911274.242,-2962487010.2082,277506469984.324,-12698403.4437328,14025977.6293724
"strip.plot.random","Strip and plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","A","Balled-and-burlapped",-284754654.163217,650203057.907611,-1492823538.38089,-1744.81434938847,-14960839.9107445,-1744.81434938847
"strip.plot.random","Strip and plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","B","Bareroot",46522709.0053128,220074450.937193,-123420564.883993,441250292.400295,-5697307.05685884,10452240.2058022
"strip.plot.random","Strip and plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","C","Seedling",173597685.471263,498476212.624683,-91760710.8896334,956573490.703471,-12658060.4184681,3522414.255244
"strip.plot.random","Strip and plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","D","Acorn",150794242.590542,397304681.046797,-148214795.179602,928453558.493728,-10592048.736483,13994730.5938849
"strip.plot.random","Strip and plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","E","Seedbank",129357941.297967,406478430.0858,-59872894.6369596,944797332.565346,-17661083.6435143,2933136.04956899
"strip.plot.random","Strip and plot random effects","aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","R","Reference",-157513206.44464,738101611.034982,-223709856.428097,970583149.332016,-15641221.9626245,4701857.30780316
"simple","Fixed effects only","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","A","Balled-and-burlapped",-1270983800.33902,2105224657.97411,-3400412277.0384,-13065.2806245177,-443990679.401154,-13065.2806245177
"simple","Fixed effects only","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","B","Bareroot",-612536288.327837,2621602479.58987,-4674668434.93588,1528672650.08573,-395666015.961562,192746727.76981
"simple","Fixed effects only","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","C","Seedling",-895256692.768351,5315564859.02049,-2658202737.61083,1836664931.23557,-269330028.682774,283645962.450207
"simple","Fixed effects only","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","D","Acorn",-241811067.22424,1404246593.6012,-2832583698.60062,1321506465.10656,-90511114.6827262,278144774.853881
"simple","Fixed effects only","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","E","Seedbank",-1334464935.64191,3677335013.1755,-6143679098.26502,2302649857.27079,-299147139.918401,168380822.654002
"simple","Fixed effects only","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","R","Reference",296019955.19448,1491587637.7863,-1363950376.58559,2576368047.99863,-179116363.203921,245340674.40845
"plot.random","Plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","A","Balled-and-burlapped",-778652176.104603,1666461955.29937,-3267585932.99356,-920.802393770384,-9289360.47784143,-920.802393770384
"plot.random","Plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","B","Bareroot",15451981.5833733,1378518468.18881,-2688466920.85225,2681899908.46993,-14722067.5178104,5814009.0220801
"plot.random","Plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","C","Seedling",298463144.625073,1319877621.38286,-1111686161.97692,3772460563.043,-4142638.65089647,4497892.61411414
