"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","D","Acorn",1.00024809366844
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","E","Seedbank",1.00023185759589
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","R","Reference",1.00007788153339
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.00073199046608
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","B","Bareroot",1.00012804789592
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","C","Seedling",1.00012919030549
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","D","Acorn",1.00009806984671
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","E","Seedbank",1.00026136234821
"h.japonicus.c.stock","H. japonicus biomass","strip.random","Strip random effects","R","Reference",1.00040847090878
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","A","Balled-and-burlapped",1.00040975311329
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","B","Bareroot",1.00026601475635
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","C","Seedling",1.00035641455937
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","D","Acorn",1.00032329173903
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","E","Seedbank",1.00032000518161
"herbaceous.litter.c.stock","Herbaceous litter","simple","Fixed effects only","R","Reference",1.00029801576288
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","A","Balled-and-burlapped",1.0000830312999
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","B","Bareroot",1.00021488418828
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","C","Seedling",1.00019950435009
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","D","Acorn",1.00018128510927
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","E","Seedbank",1.00018402622893
"herbaceous.litter.c.stock","Herbaceous litter","strip.random","Strip random effects","R","Reference",1.00039880379459
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00039923179724
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00046824542443
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00028396819786
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","simple","Fixed effects only","D","Acorn",1.00046680439468
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00016444447052
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","simple","Fixed effects only","R","Reference",1.00054533342866
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00045365135609
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00021006321421
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00059433107817
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.00003302451904
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.0002509021723
"fine.woody.debris.c.stock","Fine woody debris (< 2.5 cm)","strip.random","Strip random effects","R","Reference",1.0002767403799
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","A","Balled-and-burlapped",1.0000558074716
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","B","Bareroot",1.00015951749557
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","C","Seedling",1.0003825400224
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","D","Acorn",1.00025898251888
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","E","Seedbank",1.00020565445908
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","R","Reference",1.0001588652794
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","A","Balled-and-burlapped",1.00015533909927
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","B","Bareroot",1.00043536761529
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","C","Seedling",1.00026975173984
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","D","Acorn",1.00018681753192
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","E","Seedbank",1.00033300676196
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","R","Reference",1.00025057477741
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","A","Balled-and-burlapped",1.00036043767238
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","B","Bareroot",1.00047506573471
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","C","Seedling",1.00036919280128
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","D","Acorn",1.00031541448044
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","E","Seedbank",1.00016535997886
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","R","Reference",1.0003314092524
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","A","Balled-and-burlapped",1.00034412546844
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","B","Bareroot",1.00031759385339
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","C","Seedling",1.00018610026952
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","D","Acorn",1.00030227352778
