"v","t","mean","sd","5","95","15","85","25","75"
"Gravitational moisture (%)","Seedling",25.3344338400765,1.21328007695467,23.3431558334385,27.3445524286911,24.058751764557,26.4029970700878,24.510236070448,25.9743348434589
"Gravitational moisture (%)","Acorn",30.2087316537495,1.45469398130573,27.7893998907796,32.5148474324913,28.7955087583619,31.6444832686974,29.352200828183,31.1688696501592
"Gravitational moisture (%)","Seedbank",28.821715177105,1.36670695562029,26.51361114095,30.9921153656483,27.2903846380847,29.9383787958699,27.9865533994416,29.6710887543396
"Gravitational moisture (%)","Reference",29.3477323403297,1.38272698233427,26.9503943281662,31.437732048303,28.0072660722577,30.7624081240453,28.5212615685984,30.2378039837938
"Bulk density (g/cm3)","Balled-and-burlapped",0.947277213959622,0.0314440114421095,0.896968410956483,0.997256636050857,0.910866136430766,0.973814803201844,0.923946569832995,0.964698140964297
"Bulk density (g/cm3)","Bareroot",0.852485057866775,0.0280419264564764,0.806444391764995,0.89734387079596,0.824836549686345,0.879324039272781,0.83638032606192,0.870856556598513
"Bulk density (g/cm3)","Seedling",0.858567819028095,0.0284286506611905,0.811115973991029,0.903981183184093,0.826344986158782,0.882012876506283,0.8430730804028,0.878178286761206
"Bulk density (g/cm3)","Acorn",0.772657475838378,0.0249249054292929,0.731434112851496,0.811858647125814,0.747319007202525,0.79612654163559,0.759325960071371,0.791844587863081
"Bulk density (g/cm3)","Seedbank",0.884894406824387,0.028656516623785,0.839153079987834,0.930910691439752,0.855903935630795,0.911593388865732,0.866239080649373,0.901543455574322
"Bulk density (g/cm3)","Reference",0.927503613009412,0.0292243937134263,0.882273038105366,0.976185026827958,0.898095441648251,0.957516300675144,0.907386731988793,0.94484117549903
"Sand (%)","Balled-and-burlapped",37.9609440736484,1.77832449973668,35.0149725819318,40.6992065865016,36.2485274377757,39.7514515760229,36.8360047964256,39.0498469939529
"Sand (%)","Bareroot",39.3425303799831,1.88814257514398,36.2876969951623,42.3426121352089,37.2877240324939,41.0388618619519,38.0885860332244,40.5391785481484
"Sand (%)","Seedling",39.955120301816,1.9479905902128,37.007939032342,43.2810570633371,37.8958367613585,41.6371899912125,38.6396618522162,41.0394483114781
